task_uid,grade,level,theme_id,solution_style,status,current_stage,error_code,provider,model,llm_calls,fast_path_used,fallback_to_two_call,audit_executed,structured_json_used,base_attempts,aux_attempts,has_aux,aux_reason,base_ops_count,aux_ops_count,base_points_count,aux_points_count,svg_bytes_base,svg_bytes_aux,total_latency_ms,cost_usd,prompt_tokens,completion_tokens
GEN-L123-par1_s5-923ff7084da1f475,8,2,G8_T18,constructive,failed,base_drawing,OTHER,deepseek,deepseek-v4-flash,1,0,0,0,0,1,0,0,,14,0,0,0,0,0,27359.2,0.00190676,1778,1297
GEN-L123-w2_21_s3-f0c4974b13a3b0b1,7,1,G7_T17,constructive,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",4,0,0,0,0,1,3,0,,10,0,6,0,2691,0,309245.5,0.02051445,10285,16125
REG-006a6a0b2111b9015b844bfb,7,2,G7_T16,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,247472.1,0.01494321,5283,12288
GEN-L123-w2_119_s6-ab4d4b0b259fad65,7,2,G7_T18,constructive,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,252235.3,0.01493187,5241,12288
6f39dc453198c8495aad9a4c4f6032958ad566bbce5631ff657793556faf8813,10,4,G10_T16,constructive,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,250515.1,0.01494888,5304,12288
GEN-L123-w2_83_s5-6c86c5e3df65748d,7,1,G7_T16,angle_chase,done,done,,deepseek,deepseek-v4-flash,2,0,0,0,0,1,1,0,,15,0,6,0,4247,0,63227.8,0.00449914,5142,2828
a0ee656809c4774b33642fc249276be618dfa8e206641c023aea5bd2b4895f27,8,3,G8_T16,angle_chase,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,251940.3,0.01493106,5238,12288
69932f662efa493bed5be0e5f68117b35c77b2960c02540010726e6da5772a5c,7,3,G7_T16,angle_chase,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,242779.8,0.01490757,5151,12288
GEN-L123-par14_s6-635f1a3dbd7bdd0f,8,1,G8_T16,angle_chase,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,245199.9,0.01492458,5214,12288
GEN-L123-w2_46_s5-9792b493667fe9f2,11,3,G11_T17,angle_chase,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,233563.8,0.01492053,5199,12288
GEN-L123-par22_s5-8e1ca8ae1968f214,8,1,G8_T18,angle_chase,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,255841.0,0.01490757,5151,12288
45fb38db75e6c556939ae61ee0bc303cd25dbf87ff6fa1150ed2ac3bc4b4b8a3,8,3,G8_T16,angle_chase,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,258094.1,0.01493106,5238,12288
GEN-L123-w2_32_s1-22ad39443459f9cf,10,1,G10_T16,angle_chase,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,273646.5,0.01492134,5202,12288
GEN-L123-par23_s4-a447d3d4f6ea7522,10,2,G10_T18,angle_chase,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,263350.3,0.01492458,5214,12288
GEN-L123-w2_73_s4-ecb03b1ec7cab238,11,2,G11_T17,angle_chase,failed,base_thinking,LLM_NO_JSON,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,255916.8,0.01491324,5172,12288
GEN-L123-par6_s4-999d8a3bf361f1b9,7,2,G7_T16,angle_chase,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,245231.1,0.0149262,5220,12288
2af48b0cfb80139f3922c0140b830e49e748f457e05e496e527842b68b505113,10,4,G10_T18,angle_chase,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,241303.6,0.01496103,5349,12288
GEN-L123-par31_s3-2fe9466f202d1619,11,1,G11_T17,angle_chase,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,0,0,0,0,0,0,239368.2,0.01491648,5184,12288
PILOT2-fill_0433,7,3,G7_T16,angle_chase,failed,base_thinking,LLM_TRANSPORT,,,0,0,0,0,0,3,0,0,,0,0,0,0,0,0,30629.4,0.0,0,0
2422829933c440de059a9a4811e136051a161963da18dacb3ba80bc765574b55,8,3,G8_T16,angle_chase,failed,base_thinking,LLM_TRANSPORT,,,0,0,0,0,0,3,0,0,,0,0,0,0,0,0,24616.9,0.0,0,0
457800e6f2eba4acc3883e22dc402fb8bb58f0a3483648625b4657359b98b364,7,3,G7_T19,area_ratio,failed,base_thinking,LLM_TRANSPORT,,,0,0,0,0,0,3,0,0,,0,0,0,0,0,0,12.4,0.0,0,0
GEN-L123-par3_s1-357d58101d21256a,11,3,G11_T17,angle_chase,failed,base_thinking,LLM_TRANSPORT,,,0,0,0,0,0,3,0,0,,0,0,0,0,0,0,11.5,0.0,0,0
