task_uid,grade,level,theme_id,solution_style,status,current_stage,error_code,provider,model,llm_calls,fast_path_used,fallback_to_two_call,audit_executed,structured_json_used,base_attempts,aux_attempts,has_aux,aux_reason,aux_status,aux_fail_codes,soft_warnings,base_fail_codes,extracted_steps_count,compiled_ops_count,base_ops_count,aux_ops_count,base_points_count,aux_points_count,svg_bytes_base,svg_bytes_aux,total_latency_ms,cost_usd,prompt_tokens,completion_tokens
GEN-L123-w2_78_s4-e1a676bdcb62bb97,9,2,G9_T18,constructive,failed,base_drawing,OTHER,novita,deepseek/deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,"Проверка 1 (границы): точка 'K' (0.0, 425.0) выходит за поле [40,560]×[40,460]|Проверка 1 (границы): точка 'N' (600.0, 425.0) выходит за поле [40,560]×[40,460]",HARD_BOUNDS,0,0,8,0,5,0,0,0,4921.8,0.00098961,2003,408
GEN-L123-w2_110_s4-63185e6182e0fc21,7,3,G7_T18,constructive,done,done,,novita,deepseek/deepseek-v4-flash,3,0,0,1,0,1,1,1,,AUX_BUILD_FAILED,"{""engine_violations"": [""[ref] 'aux_perpendicular_bisector_C_AB': Точка 'AB' не найдена""]}",,,2,1,12,1,4,0,2863,0,15303.7,0.00276822,5596,1143
GEN-L123-w2_59_s4-49638f19910d590d,7,1,G7_T19,constructive,done,done,,novita,deepseek/deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,,0,0,8,0,4,0,2015,0,7049.8,0.0013709,3680,343
GEN-L123-w2_51_s2-3a0986444ca480ea,8,1,G8_T17,constructive,done,done,,novita,deepseek/deepseek-v4-flash,3,0,0,1,0,1,1,1,,AUX_BUILT,,,,1,1,9,1,6,0,2749,3116,10118.8,0.00191784,4622,609
GEN-L123-par27_s6-2b10669528a0cfe7,11,1,G11_T19,constructive,done,done,,novita,"deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",3,0,0,0,0,2,1,0,,AUX_NOT_NEEDED,,,,0,0,9,0,4,0,2755,0,110476.5,0.00256889,5367,1018
GEN-L123-w2_47_s1-b4f825e2814dfb90,8,3,G8_T16,constructive,failed,base_drawing,OTHER,novita,"deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",2,0,0,0,0,2,0,0,,,,"Проверка 1 (границы): точка 'X' (2050.0, -250.0) выходит за поле [40,560]×[40,460]",HARD_BOUNDS,0,0,12,0,6,0,0,0,100495.2,0.00222868,4054,1031
8dc057fea0c9cc9e82ed0ecb54f2c1457ab2432b5e960451fb9241fb22eec133,7,4,G7_T12,constructive,done,done,,novita,deepseek/deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,,0,0,7,0,3,0,1657,0,6499.2,0.00154521,4403,324
GEN-fill_0440,7,4,G7_T16,constructive,failed,aux_thinking,OTHER,novita,"deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",4,0,0,0,0,1,3,0,,AUX_PLAN_REJECTED,"{""codes"": [""MISSING_FOOT_ID""], ""last_errors"": [""MISSING_FOOT_ID: aux[0] 'D' (angle_bisector) должен выдавать id создаваемой точки (foot_id), например foot_id=\""H\""""]}",,LLM_ERROR,1,1,6,0,3,0,1379,0,76052.9,0.00777492,7236,5292
GEN-fill_0453,7,4,G7_T18,constructive,done,done,,novita,deepseek/deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,,1,0,9,0,4,0,1967,0,7583.8,0.00160956,3798,531
a065b9a960c366e6c6d19dcb6b3f54ad960acebf43e18bed6e2945607aea7a33,10,3,G10_T18,constructive,done,done,,novita,deepseek/deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,,0,0,12,0,5,0,3048,0,7075.8,0.00159421,3953,479
REG-93afda65f3ff830b7a710287,10,2,G10_T16,constructive,done,done,,novita,deepseek/deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,,0,0,8,0,6,0,3379,0,7709.5,0.00159111,3803,513
GEN-L123-w2_87_s2-6f75e4dea267d5d1,11,3,G11_T19,constructive,done,done,,novita,deepseek/deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,,0,0,16,0,8,0,4153,0,7710.2,0.00191967,4311,687
GEN-L123-w2_100_s3-83800a377724ae4b,9,1,G9_T18,constructive,done,done,,novita,deepseek/deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,,4,0,11,0,5,0,3050,0,9811.8,0.00193571,3853,814
GEN-L123-w2_4_s2-490dca5f7db66669,10,1,G10_T16,constructive,failed,base_drawing,OTHER,novita,deepseek/deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,Проверка 3 (расстояние): точки 'O' и 'M' слишком близко (0.0 < 8.0),HARD_POINT_DIST,0,0,9,0,6,0,0,0,6503.0,0.00115092,2026,549
057517b926b2f3726a47177c9d4b674ebe1a7672462c850d85098c0f46866434,8,4,G8_T19,constructive,failed,base_thinking,OTHER,novita,"deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,BASE_VALIDATION,0,0,0,0,0,0,0,0,198098.9,0.0186843,10400,14433
714cc0aa0592b86f3be9e250213a6890054472638b7cc463a6326e8a11efdd25,11,4,G11_T14,constructive,done,done,,novita,deepseek/deepseek-v4-flash,3,0,0,1,0,1,1,1,,AUX_BUILD_FAILED,"{""engine_violations"": [""Проверка 1 (границы): точка 'P' (-3480.0, 380.0) выходит за поле [40,560]×[40,460]""]}",,,1,1,9,1,4,1,2120,0,11034.2,0.00261369,7627,504
GEN-L123-w2_1_s4-0cc27d9447fa0b90,10,1,G10_T18,constructive,done,done,,novita,deepseek/deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,LABEL_OVERLAP_ANGLE: 'ang_C' и 'ang_ACD' пересекаются у вершины 'C'|LABEL_OVERLAP_ANGLE: 'ang_C' и 'ang_BCD' пересекаются у вершины 'C',,2,0,11,0,4,0,2949,0,11231.7,0.00192778,3404,917
GEN-L123-par33_s2-263f1cc1ca86026f,7,2,G7_T18,constructive,failed,base_drawing,OTHER,novita,deepseek/deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,Проверка 3 (расстояние): точки 'A' и 'H' слишком близко (0.0 < 8.0),HARD_POINT_DIST,0,0,8,0,4,0,0,0,5999.2,0.00110177,2011,508
GEN-L123-w2_15_s1-efc6368644a0b7ed,9,1,G9_T18,constructive,failed,base_drawing,OTHER,novita,deepseek/deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,[angle_bisector] 'bis_AE': 'p3',ENGINE_HARD,0,0,9,0,0,0,0,0,5847.3,0.00115605,2045,549
GEN-L123-w2_48_s4-be5942373c1a3518,11,2,G11_T19,constructive,failed,base_thinking,OTHER,"deepseek,novita","deepseek-v4-pro,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,BASE_VALIDATION,0,0,0,0,0,0,0,0,836628.1,0.005709,10120,2706
98cdb758e6bec2caed50bb49a29e9c1d47a0c0c3587f13e80101b2bcf7be8bee,10,4,G10_T16,constructive,done,done,,deepseek,deepseek-v4-flash,3,0,0,1,0,1,1,1,,AUX_BUILT,,,,15,1,4,1,3,1,1379,1738,11465.5,0.00345238,6154,1628
GEN-L123-par35_s2-d08e496bd7d10c19,11,1,G11_T19,constructive,failed,base_drawing,OTHER,deepseek,deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,"Проверка 1 (границы): точка 'N' (720.0, 80.0) выходит за поле [40,560]×[40,460]",HARD_BOUNDS,0,0,10,0,7,0,0,0,4042.1,0.0011008,2040,500
75ac08666a0281bc0d8ec5b11861e24c607696152f0d232e430fccaaa14a415f,10,3,G10_T16,constructive,failed,base_thinking,OTHER,"deepseek,novita","deepseek-v4-pro,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,BASE_VALIDATION,0,0,0,0,0,0,0,0,806522.2,0.0054631,10130,2480
PILOT2-fill_0437,7,4,G7_T16,constructive,done,done,,deepseek,deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,,0,0,5,0,3,0,1646,0,4254.7,0.00138992,3836,322
2daa412806a9b958305d29bfb9e14ba6b0347c3e7fc80e9a6bd5c835cd829668,7,4,G7_T14,constructive,failed,base_drawing,OTHER,deepseek,deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,"Проверка 1 (границы): точка 'C' (500.0, 500.0) выходит за поле [40,560]×[40,460]|Проверка 1 (границы): точка 'D' (100.0, 500.0) выходит за поле [40,560]×[40,460]",HARD_BOUNDS,0,0,8,0,4,0,0,0,3481.2,0.0009742,2060,380
GEN-L123-w2_84_s5-3f0efcda8d24f382,7,2,G7_T17,constructive,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",4,0,0,0,0,3,1,0,,AUX_NOT_NEEDED,,,,0,0,23,0,6,0,4479,0,228612.9,0.00471522,8676,2157
GEN-L123-w2_22_s3-caa3d80acfb78ffc,11,1,G11_T19,constructive,done,done,,deepseek,deepseek-v4-flash,3,0,0,1,0,1,1,1,,AUX_BUILT,,,,2,2,10,2,4,0,2920,3425,8166.2,0.00263852,6236,868
GEN-L123-w2_31_s6-b6c7d89638e6d2ee,9,2,G9_T17,constructive,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",4,0,0,0,0,3,1,0,,AUX_NOT_NEEDED,,,,0,0,16,0,6,0,3991,0,217912.2,0.00419817,7641,1941
GEN-L123-w2_13_s5-f84b117d6e8b5cda,8,2,G8_T18,constructive,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek/deepseek-v4-flash",3,0,0,1,0,1,1,1,,AUX_BUILT,,,,3,1,10,1,5,0,3036,3173,11682.2,0.00276606,6138,1008
GEN-L123-w2_15_s6-fe4b54464dbc7aae,8,1,G8_T18,constructive,failed,base_drawing,OTHER,"deepseek,novita","deepseek-v4-flash,deepseek-v4-pro,deepseek/deepseek-v4-pro",3,0,0,0,0,3,0,0,,,,Проверка 3 (расстояние): точки 'D' и 'N' слишком близко (0.0 < 8.0)|Проверка 3 (расстояние): точки 'B' и 'M' слишком близко (0.0 < 8.0),HARD_POINT_DIST,0,0,18,0,7,0,0,0,230312.2,0.00398805,6105,2127
