task_uid,grade,level,theme_id,solution_style,status,current_stage,error_code,provider,model,llm_calls,fast_path_used,fallback_to_two_call,audit_executed,structured_json_used,base_attempts,aux_attempts,has_aux,aux_reason,aux_status,aux_fail_codes,soft_warnings,base_ops_count,aux_ops_count,base_points_count,aux_points_count,svg_bytes_base,svg_bytes_aux,total_latency_ms,cost_usd,prompt_tokens,completion_tokens
GEN-L123-w2_78_s4-e1a676bdcb62bb97,9,2,G9_T18,constructive,done,done,,deepseek,deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,10,0,5,0,2857,0,5324.0,0.00212711,5613,556
GEN-L123-w2_110_s4-63185e6182e0fc21,7,3,G7_T18,constructive,done,done,,deepseek,deepseek-v4-flash,3,0,0,1,0,1,1,1,Для применения теоремы Пифагора в прямоугольном треугольнике ACE необходимо построить перпендикуляр CE к продолжению стороны AB.,AUX_BUILD_FAILED,"{""engine_violations"": [""[ref] 'aux_seg_CE': Точка 'E' не найдена""]}",,9,4,4,0,2142,0,10585.1,0.00318951,7633,1026
GEN-L123-w2_59_s4-49638f19910d590d,7,1,G7_T19,constructive,failed,base_drawing,OTHER,deepseek,deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,5,0,4,0,0,0,2921.2,0.00086467,2021,290
GEN-L123-w2_51_s2-3a0986444ca480ea,8,1,G8_T17,constructive,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",4,0,0,1,0,1,2,1,"В решении проводится диагональ AC и вводится точка P пересечения диагоналей, необходимая для использования медиан треугольника ABC.",AUX_BUILT,,,11,2,6,1,2916,3619,68675.5,0.00752082,9986,4386
GEN-L123-w2_47_s1-b4f825e2814dfb90,8,3,G8_T16,constructive,failed,base_drawing,OTHER,deepseek,deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,12,0,6,0,0,0,4114.1,0.00113469,2027,534
GEN-fill_0558,8,4,G8_T18,constructive,failed,aux_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",4,0,0,0,0,1,3,0,,AUX_PLAN_REJECTED,"{""codes"": [""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION""], ""last_errors"": [""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION: aux[1] 'seg_AM_prime' (segment) must have an explicit construction action in solution_evidence.quote"", ""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION: aux[2] 'seg_M_prime_N' (segment) must have",,12,0,6,0,3371,0,245904.8,0.00605618,13504,2191
8dc057fea0c9cc9e82ed0ecb54f2c1457ab2432b5e960451fb9241fb22eec133,7,4,G7_T12,constructive,done,done,,deepseek,deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,7,0,3,0,1594,0,5215.8,0.00199969,5907,368
GEN-fill_0440,7,4,G7_T16,constructive,done,done,,deepseek,deepseek-v4-flash,3,0,0,1,0,1,1,1,Для доказательства соотношения AC² = AB·(AB+BC) требуется провести биссектрису угла B и отметить равные углы.,AUX_BUILD_FAILED,"{""engine_violations"": [""[angle_bisector] 'aux_bisector_BD': 'p1'""]}",,6,3,3,0,1316,0,9500.8,0.00280745,7155,796
GEN-fill_0453,7,4,G7_T18,constructive,failed,aux_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",4,0,0,0,0,1,3,0,,AUX_PLAN_REJECTED,"{""codes"": [""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION""], ""last_errors"": [""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION: aux[1] 'aux_seg_AA_prime' (segment) must have an explicit construction action in solution_evidence.quote"", ""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION: aux[2] 'aux_seg_A_prime_C' (segment) m",,9,0,4,0,1902,0,285472.0,0.00597494,13692,2071
a065b9a960c366e6c6d19dcb6b3f54ad960acebf43e18bed6e2945607aea7a33,10,3,G10_T18,constructive,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",4,0,0,0,0,1,3,0,,AUX_ROLLED_BACK,"{""rollback_after_codes"": [""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION""]}",,12,0,5,0,2985,0,218877.9,0.00684064,14022,2777
REG-93afda65f3ff830b7a710287,10,2,G10_T16,constructive,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,1,2,0,,AUX_ROLLED_BACK,"{""rollback_after_codes"": [""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION"", ""INVALID_REFERENCE""]}",,8,0,6,0,3316,0,61445.2,0.00662259,9397,3714
GEN-L123-w2_87_s2-6f75e4dea267d5d1,11,3,G11_T19,constructive,failed,base_drawing,OTHER,deepseek,deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,16,0,0,0,0,0,4892.7,0.00130204,2052,680
057517b926b2f3726a47177c9d4b674ebe1a7672462c850d85098c0f46866434,8,4,G8_T19,constructive,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,0,0,0,0,0,0,812571.0,0.02335949,10637,18625
GEN-L123-w2_4_s2-490dca5f7db66669,10,1,G10_T16,constructive,failed,base_drawing,OTHER,deepseek,deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,13,0,6,0,0,0,4115.4,0.00123562,2026,626
GEN-L123-w2_100_s3-83800a377724ae4b,9,1,G9_T18,constructive,failed,aux_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",4,0,0,0,0,1,3,0,,AUX_PLAN_REJECTED,"{""codes"": [""INVALID_REFERENCE""], ""last_errors"": [""INVALID_REFERENCE: aux[0] references unknown id 'N'""]}",,13,0,5,0,2987,0,240934.3,0.00798067,13661,3902
714cc0aa0592b86f3be9e250213a6890054472638b7cc463a6326e8a11efdd25,11,4,G11_T14,constructive,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,1,2,0,,AUX_ROLLED_BACK,"{""rollback_after_codes"": [""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION""]}",,6,0,4,0,1756,0,119702.8,0.00425504,10952,1180
GEN-L123-w2_48_s4-be5942373c1a3518,11,2,G11_T19,constructive,failed,base_thinking,OTHER,"deepseek,novita","deepseek-v4-flash,deepseek-v4-pro,deepseek/deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,0,0,0,0,0,0,441357.3,0.0057233,10120,2719
GEN-L123-par33_s2-263f1cc1ca86026f,7,2,G7_T18,constructive,failed,base_drawing,OTHER,novita,deepseek/deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,8,0,4,0,0,0,4909.7,0.00110397,2011,510
GEN-L123-w2_15_s1-efc6368644a0b7ed,9,1,G9_T18,constructive,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek/deepseek-v4-flash",2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,9,0,5,0,3329,0,27770.3,0.00206,5230,589
GEN-L123-w2_1_s4-0cc27d9447fa0b90,10,1,G10_T18,constructive,failed,base_thinking,OTHER,novita,"deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,0,0,0,0,0,0,434920.7,0.0056151,10090,2628
75ac08666a0281bc0d8ec5b11861e24c607696152f0d232e430fccaaa14a415f,10,3,G10_T16,constructive,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek-v4-pro,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",5,0,0,0,0,4,1,0,,AUX_NOT_NEEDED,,,8,0,6,0,3316,0,345597.7,0.00571688,12614,2101
GEN-L123-par35_s2-d08e496bd7d10c19,11,1,G11_T19,constructive,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,1,2,0,,AUX_ROLLED_BACK,"{""rollback_after_codes"": [""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION""]}",,10,0,7,0,3082,0,119382.6,0.00380971,9873,1040
98cdb758e6bec2caed50bb49a29e9c1d47a0c0c3587f13e80101b2bcf7be8bee,10,4,G10_T16,constructive,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek-v4-pro,deepseek/deepseek-v4-flash",4,0,0,0,0,1,3,0,,AUX_ROLLED_BACK,"{""rollback_after_codes"": [""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION"", ""INVALID_REFERENCE""]}",,4,0,3,0,1316,0,309903.2,0.00892032,16086,4161
GEN-L123-w2_84_s5-3f0efcda8d24f382,7,2,G7_T17,constructive,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,2,1,0,,AUX_NOT_NEEDED,,,19,0,6,0,5070,0,117569.0,0.00376738,9044,1205
2daa412806a9b958305d29bfb9e14ba6b0347c3e7fc80e9a6bd5c835cd829668,7,4,G7_T14,constructive,done,done,,deepseek,deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,8,0,4,0,1958,0,6411.8,0.00235447,6891,449
PILOT2-fill_0437,7,4,G7_T16,constructive,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,1,2,0,,AUX_ROLLED_BACK,"{""rollback_after_codes"": [""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION"", ""INVALID_REFERENCE""]}",,5,0,3,0,1583,0,107821.8,0.00925869,9077,6189
GEN-L123-w2_31_s6-b6c7d89638e6d2ee,9,2,G9_T17,constructive,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,2,1,0,,AUX_NOT_NEEDED,,,16,0,6,0,3928,0,117643.4,0.00352194,8082,1218
GEN-L123-w2_15_s6-fe4b54464dbc7aae,8,1,G8_T18,constructive,failed,base_drawing,OTHER,deepseek,deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,17,0,7,0,0,0,5207.6,0.00137005,2035,746
GEN-L123-w2_13_s5-f84b117d6e8b5cda,8,2,G8_T18,constructive,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek-v4-pro,deepseek/deepseek-v4-flash",5,0,0,1,0,1,3,1,Для построения равностороннего треугольника BQC на стороне BC внутри квадрата.,AUX_BUILD_FAILED,"{""engine_violations"": [""[equilateral_triangle] 'aux_triangle_BQC': Неизвестный тип построения: equilateral_triangle""]}",,10,2,5,0,2973,0,231096.2,0.00677015,16735,2047
GEN-L123-w2_22_s3-caa3d80acfb78ffc,11,1,G11_T19,constructive,failed,base_thinking,OTHER,"deepseek,novita","deepseek-v4-flash,deepseek-v4-pro,deepseek/deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,0,0,0,0,0,0,447154.2,0.00528395,10045,2338
GEN-L123-w2_21_s3-f0c4974b13a3b0b1,7,1,G7_T17,constructive,failed,aux_thinking,OTHER,"deepseek,novita","deepseek-v4-flash,deepseek-v4-pro,deepseek/deepseek-v4-flash",4,0,0,0,0,1,3,0,,AUX_PLAN_REJECTED,"{""codes"": [""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION"", ""INVALID_REFERENCE""], ""last_errors"": [""INVALID_REFERENCE: aux[1] references unknown id 'seg_AC'"", ""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION: aux[3] 'aux_seg_MO' (segment) must have an explicit construction action in solution_evidence.quote""]}",,10,0,6,0,2806,0,301658.1,0.0053034,11820,1920
GEN-L123-par1_s5-923ff7084da1f475,8,2,G8_T18,constructive,failed,base_drawing,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,3,0,0,,,,,12,0,6,0,0,0,245441.5,0.00357623,6189,1732
GEN-L123-w2_119_s6-ab4d4b0b259fad65,7,2,G7_T18,constructive,failed,base_drawing,OTHER,deepseek,deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,8,0,4,0,0,0,4243.7,0.00105244,2032,458
REG-006a6a0b2111b9015b844bfb,7,2,G7_T16,constructive,failed,base_thinking,OTHER,"deepseek,novita","deepseek-v4-flash,deepseek-v4-pro,deepseek/deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,0,0,0,0,0,0,487210.4,0.007117,10230,3959
6f39dc453198c8495aad9a4c4f6032958ad566bbce5631ff657793556faf8813,10,4,G10_T16,constructive,failed,base_thinking,OTHER,"deepseek,novita","deepseek-v4-flash,deepseek-v4-pro,deepseek/deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,0,0,0,0,0,0,481625.8,0.00732665,10265,4141
GEN-L123-w2_83_s5-6c86c5e3df65748d,7,1,G7_T16,angle_chase,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",3,0,0,0,0,2,1,0,,AUX_NOT_NEEDED,,,15,0,6,0,4356,0,145996.9,0.00376244,7722,1525
69932f662efa493bed5be0e5f68117b35c77b2960c02540010726e6da5772a5c,7,3,G7_T16,angle_chase,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek/deepseek-v4-flash",2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,10,0,4,0,2895,0,28959.7,0.00228747,5551,717
GEN-L123-par14_s6-635f1a3dbd7bdd0f,8,1,G8_T16,angle_chase,failed,base_drawing,OTHER,novita,deepseek/deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,15,0,0,0,0,0,7873.4,0.00126231,2023,651
a0ee656809c4774b33642fc249276be618dfa8e206641c023aea5bd2b4895f27,8,3,G8_T16,angle_chase,failed,base_thinking,OTHER,novita,"deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,0,0,0,0,0,0,444166.8,0.00545115,10155,2463
GEN-L123-par22_s5-8e1ca8ae1968f214,8,1,G8_T18,angle_chase,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",5,0,0,0,0,4,1,0,,AUX_NOT_NEEDED,,,6,0,4,0,2020,0,259617.9,0.01206215,11365,8176
45fb38db75e6c556939ae61ee0bc303cd25dbf87ff6fa1150ed2ac3bc4b4b8a3,8,3,G8_T16,angle_chase,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek-v4-pro,deepseek/deepseek-v4-flash",4,0,0,1,0,1,2,1,"В решении вводится вспомогательная точка L, симметричная K относительно M.",AUX_BUILT,,,12,1,6,1,3342,3678,125256.1,0.00925418,12234,5410
GEN-L123-w2_32_s1-22ad39443459f9cf,10,1,G10_T16,angle_chase,failed,base_drawing,OTHER,deepseek,deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,11,0,6,0,0,0,4108.5,0.00110943,2019,513
GEN-L123-par23_s4-a447d3d4f6ea7522,10,2,G10_T18,angle_chase,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,0,0,0,0,0,0,453936.6,0.00541285,10115,2438
GEN-L123-w2_73_s4-ecb03b1ec7cab238,11,2,G11_T17,angle_chase,done,done,,deepseek,deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,9,0,4,0,2625,0,5954.7,0.00215636,5648,574
GEN-L123-w2_46_s5-9792b493667fe9f2,11,3,G11_T17,angle_chase,failed,base_thinking,OTHER,"deepseek,novita","deepseek-v4-pro,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,0,0,0,0,0,0,1173787.2,0.006329,10090,3277
2af48b0cfb80139f3922c0140b830e49e748f457e05e496e527842b68b505113,10,4,G10_T18,angle_chase,done,done,,deepseek,"deepseek-v4-flash,deepseek-v4-pro",3,0,0,0,0,1,2,0,,AUX_ROLLED_BACK,"{""rollback_after_codes"": [""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION""]}",,12,0,6,0,2984,0,126312.5,0.00530124,11922,1893
GEN-L123-par31_s3-2fe9466f202d1619,11,1,G11_T17,angle_chase,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek/deepseek-v4-flash",2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,10,0,4,0,2895,0,29524.3,0.00221434,5272,719
PILOT2-fill_0433,7,3,G7_T16,angle_chase,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek/deepseek-v4-flash",2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,12,0,6,0,3672,0,27130.7,0.0022981,5570,722
2422829933c440de059a9a4811e136051a161963da18dacb3ba80bc765574b55,8,3,G8_T16,angle_chase,failed,base_drawing,OTHER,novita,"deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",2,0,0,0,0,2,0,0,,,,,15,0,6,0,0,0,126525.2,0.00257142,4036,1347
GEN-L123-par6_s4-999d8a3bf361f1b9,7,2,G7_T16,angle_chase,failed,base_thinking,OTHER,"deepseek,novita","deepseek-v4-flash,deepseek-v4-pro,deepseek/deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,0,0,0,0,0,0,452568.5,0.00615145,10125,3107
457800e6f2eba4acc3883e22dc402fb8bb58f0a3483648625b4657359b98b364,7,3,G7_T19,area_ratio,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek-v4-pro,deepseek/deepseek-v4-flash",3,0,0,0,0,1,2,0,,AUX_ROLLED_BACK,"{""rollback_after_codes"": [""AUX_SEGMENT_WITHOUT_CONSTRUCTION_ACTION""]}",,5,0,4,0,1662,0,193118.0,0.00484928,8924,2218
GEN-L123-w2_69_s1-77855ad1c2442d91,8,1,G8_T19,area_ratio,done,done,,deepseek,deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,5,0,4,0,1666,0,5065.1,0.00182645,5465,319
GEN-fill_0631,9,4,G9_T18,area_ratio,done,done,,deepseek,deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,12,0,6,0,3362,0,6435.6,0.0022166,5810,589
GEN-L123-par3_s1-357d58101d21256a,11,3,G11_T17,angle_chase,failed,base_thinking,OTHER,"deepseek,novita","deepseek-v4-pro,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,0,0,0,0,0,0,473920.1,0.0055819,10130,2588
GEN-L123-par23_s2-98b9daf3667877cb,11,2,G11_T18,area_ratio,done,done,,deepseek,deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,12,0,5,0,3269,0,6219.9,0.00206884,5552,518
GEN-L123-w2_23_s5-184f1c9e10166c52,7,2,G7_T17,area_ratio,failed,base_drawing,OTHER,deepseek,deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,11,0,0,0,0,0,4749.4,0.00118023,2049,570
GEN-L123-w2_34_s3-6c8ef61f95ddf274,7,1,G7_T19,area_ratio,failed,base_drawing,OTHER,deepseek,deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,8,0,4,0,0,0,3850.4,0.00092899,2027,347
GEN-L123-par14_s2-79e4c631f6340259,8,1,G8_T19,area_ratio,done,done,,deepseek,deepseek-v4-flash,2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,5,0,4,0,1666,0,5750.0,0.00162071,4703,319
GEN-L123-w2_42_s6-c11ac85b29079271,8,1,G8_T19,area_ratio,failed,base_drawing,OTHER,deepseek,deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,8,0,4,0,0,0,3959.4,0.00093862,2026,356
GEN-L123-w2_61_s3-bc3f7055d5d04059,10,1,G10_T17,area_ratio,failed,base_thinking,OTHER,deepseek,"deepseek-v4-flash,deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,0,0,0,0,0,0,525980.8,0.0063695,10240,3277
RG2-b7a0e742050ecd9238a9d65a,8,2,G8_T18,area_ratio,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek/deepseek-v4-flash",2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,11,0,5,0,2988,0,29825.0,0.00211146,5388,597
GEN-L123-w2_57_s4-d68579347a008dfe,8,2,G8_T19,area_ratio,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek/deepseek-v4-flash",2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,8,0,4,0,1952,0,27939.7,0.00194219,5527,409
GEN-L123-par26_s5-f7e989d97f04fdb1,9,2,G9_T18,area_ratio,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek/deepseek-v4-flash",2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,13,0,5,0,2988,0,29464.1,0.00219714,5632,615
RG2-6d59d5a4895481f6140956ce,7,1,G7_T17,area_ratio,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek/deepseek-v4-flash",2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,9,0,6,0,2896,0,26412.6,0.00189625,5035,488
37c7744e600f92dbf30fba0487d5a9e385607162ec5206ddc318cde53e01cca9,10,4,G10_T17,area_ratio,failed,base_drawing,OTHER,novita,deepseek/deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,16,0,9,0,0,0,10585.3,0.00152396,1998,895
GEN-L123-w2_123r_s4-6dd61bd0019b86cb,10,2,G10_T17,trig,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek/deepseek-v4-flash",2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,7,0,5,0,2100,0,27121.3,0.00198882,5496,459
GEN-fill_0697,10,3,G10_T18,area_ratio,failed,base_drawing,OTHER,"deepseek,novita","deepseek-v4-flash,deepseek-v4-pro,deepseek/deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,16,0,6,0,0,0,533771.3,0.00616255,10215,3095
db0715f78ccab1a01ce7cd009efe1086c3120c5b3cdac19fb349cc70a2a094c3,9,2,G9_T16,coordinate,failed,base_drawing,OTHER,novita,deepseek/deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,16,0,8,0,0,0,8316.7,0.00131435,2065,688
GEN-L123-w2_114_s1-1983f95f4a928d9f,9,2,G9_T17,coordinate,failed,base_thinking,OTHER,novita,"deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,0,0,0,0,0,0,565044.3,0.00578365,10095,2780
94ee286ac0e2435026a8c1c9fb8a6bb53d1a6340317065df3f735536f8e97fa5,11,4,G11_T01,coordinate,failed,base_drawing,OTHER,novita,deepseek/deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,14,0,0,0,0,0,7274.6,0.00127756,2108,644
7bcb88ddb5256e2c81e094d087e7c9f1cf80c64d7e23021ecb56ac2d37794bed,11,4,G11_T17,trig,failed,base_drawing,OTHER,novita,deepseek/deepseek-v4-flash,1,0,0,0,0,1,0,0,,,,,9,0,6,0,0,0,4960.5,0.00103207,2091,425
GEN-L123-par28_s5-7956441f779bf320,11,2,G11_T17,coordinate,failed,base_thinking,OTHER,novita,"deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",5,0,0,0,0,5,0,0,,,,,0,0,0,0,0,0,574101.0,0.0056403,10220,2619
a662dc20019c09fd74410a7612c85128817a07bd9526a07e436ba3c407ea3c14,7,3,G7_T19,coordinate,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek/deepseek-v4-flash",2,0,0,0,0,1,1,0,,AUX_NOT_NEEDED,,,4,0,3,0,1316,0,25606.2,0.00197046,6308,243
796196c2d83ea58ef0d9ec7fb045ae230e91715f347c9693498e3c1eb97f929d,10,3,G10_T17,coordinate,done,done,,"deepseek,novita","deepseek-v4-flash,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro",3,0,0,0,0,2,1,0,,AUX_NOT_NEEDED,,,18,0,8,0,3765,0,152832.0,0.00431964,9362,1629
