id,grade,level,solution_len,topic,task_text
8-B3-4-L6-g678,8,6,28,Неравенства и преобразования,От числа $220$ взяли его $\d\frac{1}{2}$. Какое число получили?
9-B3-2-L6-gh3,9,6,28,"Системы, модули, радикалы, неравенства",От числа $251$ взяли его $\d\frac{1}{2}$. Какое число получили?
7-F3-1-L6-g678,7,6,32,Комбинаторика и графы,Среди скольких человек найдутся двое с общим днём рождения (в невысокосный год)?
8-F3-1-L6-gh2,8,6,32,Теория чисел: остатки и диофантовы,"В мешке носки $13$ цветов. Сколько вытащить, чтобы была пара одного цвета?"
8-F3-3-L6-g678,8,6,32,Теория чисел: остатки и диофантовы,"В мешке носки $10$ цветов. Сколько вытащить, чтобы была пара одного цвета?"
10-F3-3-L6-g911,10,6,33,"Комбинаторика, графы, вероятностный подсчёт","Среди любых $6$ натуральных чисел найдутся два с разностью, делящейся на $5$. Верно?"
7-C3-5-L6-g678,7,6,34,Функции и графики,На сколько частей делят пространство $2$ плоскости общего положения?
8-C3-1-L6-g678,8,6,34,Системы и текстовые задачи,На сколько частей делят пространство $3$ плоскости общего положения?
10-E3-2-L6-g911,10,6,35,Теория чисел старшего уровня,"Сколько нечётных чисел среди $1,2,\l\dots,100$?"
11-C3-4-L6-gh3,11,6,35,Неравенства и оценки,На сколько частей делят пространство $5$ плоскости общего положения?
5-C3-30-L6-g,5,6,35,Геометрия и измерения,На сколько частей делят пространство $4$ плоскости общего положения?
10-G3-1-L6-gst2,10,6,36,"Логика, множества, функции и отображения","В куче $27$ камней. За ход берут $1$–$4$. Кто берёт последний, выигрывает. Кто?"
10-G3-1-L6-gstub,10,6,36,"Логика, множества, функции и отображения","На доске $0$. Прибавляют $1$–$7$. Кто первым назовёт $20$, выигрывает. Кто?"
10-G3-3-L6-gstub,10,6,36,"Логика, множества, функции и отображения","В куче $11$ камней. За ход берут $1$ или $3$. Кто возьмёт последний, выигрывает. Кто?"
10-G3-4-L6-gstub,10,6,36,"Логика, множества, функции и отображения","На доске $0$. Прибавляют $1$–$7$. Кто первым назовёт $40$, выигрывает. Кто?"
11-E3-4-L6-g911,11,6,36,"Стереометрия, координаты и векторы","Сколько нечётных чисел среди $1,2,\l\dots,300$?"
6-E3-3-L6-g678,6,6,36,"Геометрия, комбинаторика и логика","Сколько нечётных чисел среди $1,2,\l\dots,200$?"
8-G1-2-L6-g678,8,6,36,"Комбинаторика, логика, инварианты",На доске записано число $7$. За ход число заменяют на сумму его цифр. Какое число получится в конце?
8-G3-3-L6-g678,8,6,36,"Комбинаторика, логика, инварианты","В куче $21$ камней. За ход берут $1$–$4$. Кто берёт последний, выигрывает. Кто?"
8-G3-4-L6-g678,8,6,36,"Комбинаторика, логика, инварианты","В куче $13$ камней. За ход берут $1$ или $3$. Кто возьмёт последний, выигрывает. Кто?"
9-G1-2-L6-gstub,9,6,36,"Логика, инварианты, стратегии",На доске записано число $5$. За ход число заменяют на сумму его цифр. Какое число получится в конце?
9-G3-1-L6-gstub,9,6,36,"Логика, инварианты, стратегии","В куче $7$ камней. За ход берут $1$ или $3$. Кто возьмёт последний, выигрывает. Кто?"
9-G3-2-L6-gstub,9,6,36,"Логика, инварианты, стратегии","На доске $0$. Прибавляют $1$–$7$. Кто первым назовёт $60$, выигрывает. Кто?"
11-E3-5-L6-g911,11,6,37,"Стереометрия, координаты и векторы",На доске $11$ единиц. За ход стирают две и пишут их сумму. Чему равно последнее число?
5-E3-27-L6-g,5,6,37,Комбинаторика и логика,На доске $7$ единиц. За ход стирают две и пишут их сумму. Чему равно последнее число?
7-E3-2-L6-g678,7,6,37,Делимость и остатки,На доске $15$ единиц. За ход стирают две и пишут их сумму. Чему равно последнее число?
7-E3-4-L6-g678,7,6,37,Делимость и остатки,На доске $13$ единиц. За ход стирают две и пишут их сумму. Чему равно последнее число?
11-D2-1-L6-gh4,11,6,38,"Функции, графики и параметры",При каких $a$ уравнение $x^2-4x+a=0$ имеет единственный корень?
7-G2-3-L6-g678,7,6,38,Логика и инварианты,Сколько чёрных клеток на шахматной доске $4\times4$?
11-G2-3-L6-gh3,11,6,39,"Комбинаторика, графы, логика",Сколько чёрных клеток на шахматной доске $8\times8$?
6-C3-5-L6-g678,6,6,39,Целые числа и координаты,Какое наибольшее число частей дают $3$ прямых на плоскости?
7-G2-1-L6-g678,7,6,39,Логика и инварианты,Сколько чёрных клеток на шахматной доске $5\times5$?
7-G2-4-L6-g678,7,6,39,Логика и инварианты,Сколько чёрных клеток на шахматной доске $6\times6$?
11-B3-1-L6-gh4,11,6,40,Тригонометрия и смешанные уравнения,Найдите корни $\cos x=-\frac12$ на $[0;2\pi]$.
11-C3-3-L6-gh3,11,6,40,Неравенства и оценки,Какое наибольшее число частей дают $5$ прямых на плоскости?
7-G1-3-L6-g678,7,6,40,Логика и инварианты,На доске $11$ единиц. За ход стирают два числа и пишут их сумму. Чему равно последнее число?
8-C3-4-L6-g678,8,6,40,Системы и текстовые задачи,Какое наибольшее число частей дают $4$ прямых на плоскости?
8-C3-5-L6-g678,8,6,40,Системы и текстовые задачи,Какое наибольшее число частей дают $6$ прямых на плоскости?
10-C2-1-L6-gstub,10,6,46,"Системы, параметры и неравенства",Два угла треугольника равны $73^\circ$ и $70^\circ$. Найдите третий угол.
10-C2-2-L6-gstub,10,6,46,"Системы, параметры и неравенства",Два угла треугольника равны $53^\circ$ и $68^\circ$. Найдите третий угол.
10-F1-3-L6-g911,10,6,46,"Комбинаторика, графы, вероятностный подсчёт",Два угла треугольника равны $74^\circ$ и $52^\circ$. Найдите третий угол.
11-C2-1-L6-gh3,11,6,46,Неравенства и оценки,Два угла треугольника равны $61^\circ$ и $70^\circ$. Найдите третий угол.
11-F1-2-L6-gh3,11,6,46,Теория чисел и диофантовы задачи,Два угла треугольника равны $54^\circ$ и $68^\circ$. Найдите третий угол.
5-C2-2-L6-g5,5,6,46,Геометрия и измерения,Два угла треугольника равны $48^\circ$ и $49^\circ$. Найдите третий угол.
6-C2-4-L6-g678,6,6,46,Целые числа и координаты,Два угла треугольника равны $51^\circ$ и $50^\circ$. Найдите третий угол.
7-F1-5-L6-g678,7,6,46,Комбинаторика и графы,Два угла треугольника равны $80^\circ$ и $50^\circ$. Найдите третий угол.
8-C1-4-L6-gh5,8,6,48,Системы и текстовые задачи,Решите систему $\begin{cases}x+y=8\\xy=15\end{cases}$.
8-C1-1-L6-gh5,8,6,49,Системы и текстовые задачи,Решите систему $\begin{cases}x+y=16\\xy=63\end{cases}$.
8-C1-2-L6-gh5,8,6,49,Системы и текстовые задачи,Решите систему $\begin{cases}x+y=10\\xy=24\end{cases}$.
8-C1-3-L6-gh5,8,6,49,Системы и текстовые задачи,Решите систему $\begin{cases}x+y=11\\xy=30\end{cases}$.
10-D2-2-L6-g911,10,6,52,Стереометрия и векторы,"Один мастер делает $5$ деталей в час, другой $4$. За сколько часов они вместе сделают $27$ деталей?"
10-F3-1-L6-g911,10,6,52,"Комбинаторика, графы, вероятностный подсчёт","В ящике $3$ цветов. Сколько вытащить, чтобы было $3$ одного цвета?"
10-F3-4-L6-g911,10,6,52,"Комбинаторика, графы, вероятностный подсчёт","В ящике $2$ цветов. Сколько вытащить, чтобы было $4$ одного цвета?"
11-F3-2-L6-g911,11,6,52,Теория чисел и диофантовы задачи,"В ящике $2$ цветов. Сколько вытащить, чтобы было $5$ одного цвета?"
5-D2-29-L6-g,5,6,52,Текстовые задачи,"Один мастер делает $3$ деталей в час, другой $3$. За сколько часов они вместе сделают $18$ деталей?"
11-D2-2-L6-gh3,11,6,54,"Функции, графики и параметры","Один мастер делает $6$ деталей в час, другой $5$. За сколько часов они вместе сделают $33$ деталей?"
11-D2-4-L6-gst2,11,6,54,"Функции, графики и параметры","Один мастер делает $6$ деталей в час, другой $4$. За сколько часов они вместе сделают $30$ деталей?"
6-D2-4-L6-g678,6,6,54,Уравнения и текстовые задачи,"Один мастер делает $6$ деталей в час, другой $6$. За сколько часов они вместе сделают $48$ деталей?"
7-G1-5-L6-g678,7,6,55,Логика и инварианты,На доске число $5$. За ход прибавляют сумму цифр. Через сколько ходов появится двузначное?
8-G1-1-L6-g678,8,6,55,"Комбинаторика, логика, инварианты",На доске число $3$. За ход прибавляют сумму цифр. Через сколько ходов появится двузначное?
8-G1-5-L6-g678,8,6,55,"Комбинаторика, логика, инварианты",На доске число $7$. За ход прибавляют сумму цифр. Через сколько ходов появится двузначное?
10-D2-3-L6-g911,10,6,56,Стереометрия и векторы,$4$ рабочих выполнили работу за $7$ дней. За сколько дней выполнят ту же работу $6$ рабочих?
11-D2-6-L6-gf,11,6,56,"Функции, графики и параметры",$5$ рабочих выполнили работу за $7$ дней. За сколько дней выполнят ту же работу $6$ рабочих?
5-C3-26-L6-g,5,6,56,Геометрия и измерения,"Какое наибольшее число частей можно получить, проведя $7$ прямых на плоскости?"
6-A3-1-L6-gh1,6,6,56,"Числа, делимость, НОД/НОК","В геометрической прогрессии первый член $3$, знаменатель $2$. Чему равна сумма первых $7$ членов?"
6-C3-2-L6-g678,6,6,56,Целые числа и координаты,"Какое наибольшее число частей можно получить, проведя $8$ прямых на плоскости?"
8-C3-2-L6-g678,8,6,56,Системы и текстовые задачи,"Какое наибольшее число частей можно получить, проведя $5$ прямых на плоскости?"
8-C3-3-L6-g678,8,6,56,Системы и текстовые задачи,"Какое наибольшее число частей можно получить, проведя $4$ прямых на плоскости?"
8-D2-4-L6-g678,8,6,56,Функции и графики,$2$ рабочих выполнили работу за $9$ дней. За сколько дней выполнят ту же работу $4$ рабочих?
5-D2-28-L6-g,5,6,57,Текстовые задачи,$5$ рабочих выполнили работу за $11$ дней. За сколько дней выполнят ту же работу $6$ рабочих?
5-D2-30-L6-g,5,6,57,Текстовые задачи,$4$ рабочих выполнили работу за $12$ дней. За сколько дней выполнят ту же работу $6$ рабочих?
5-E3-26-L6-g,5,6,59,Комбинаторика и логика,"В строке $10$ лампочек. За ход переключают две соседние. Можно ли погасить все, если изначально горят все?"
6-A2-1-L6-gh1,6,6,59,"Числа, делимость, НОД/НОК",Сколько натуральных делителей имеет число $125$?
7-E2-5-L6-g678,7,6,59,Делимость и остатки,"Трое: А сказал «Б и В одного типа», Б сказал «А и В разных типов». Кто В?"
7-E3-1-L6-g678,7,6,59,Делимость и остатки,"В строке $8$ лампочек. За ход переключают две соседние. Можно ли погасить все, если изначально горят все?"
7-G2-5-L6-g678,7,6,59,Логика и инварианты,Можно ли разрезать прямоугольник $5\times5$ на доминошки $1\times2$?
8-E3-2-L6-g678,8,6,59,Геометрия: подобие и окружность,"В строке $6$ лампочек. За ход переключают две соседние. Можно ли погасить все, если изначально горят все?"
11-C3-2-L6-gh3,11,6,60,Неравенства и оценки,Торт режут $5$ разрезами с перекладыванием. Какое наибольшее число равных частей можно получить?
5-C1-2-L6-g5,5,6,60,Геометрия и измерения,Сколько натуральных делителей имеет число $194481$?
8-D1-2-L6-g678,8,6,60,Функции и графики,Сколько натуральных делителей имеет число $2025$?
8-D1-4-L6-g678,8,6,60,Функции и графики,Сколько натуральных делителей имеет число $3249$?
8-F2-2-L6-g678,8,6,60,Теория чисел: остатки и диофантовы,На конференции $9$ человек пожали друг другу руки. Сколько всего рукопожатий?
9-D3-1-L6-g911,9,6,60,Геометрия треугольника и окружности,Сколько натуральных делителей имеет число $1500625$?
10-A1-7-L6-gf,10,6,61,Показательные и логарифмические выражения,Сколько натуральных делителей имеет число $66125$?
11-D3-3-L6-gh3,11,6,61,"Функции, графики и параметры",Сколько натуральных делителей имеет число $714025$?
11-E1-4-L6-g911,11,6,61,"Стереометрия, координаты и векторы",Сколько натуральных делителей имеет число $9796423$?
5-A1-2-L6-g5,5,6,61,Числа и делимость,Сколько натуральных делителей имеет число $1459759$?
5-C3-28-L6-g,5,6,61,Геометрия и измерения,Торт режут $9$ разрезами с перекладыванием. Какое наибольшее число равных частей можно получить?
6-C1-2-L6-g678,6,6,61,Целые числа и координаты,Сколько натуральных делителей имеет число $555579$?
6-C3-3-L6-g678,6,6,61,Целые числа и координаты,Торт режут $7$ разрезами с перекладыванием. Какое наибольшее число равных частей можно получить?
8-A2-5-L6-g678,8,6,61,Квадратные уравнения и теорема Виета,Сколько натуральных делителей имеет число $195112$?
8-D1-3-L6-g678,8,6,61,Функции и графики,Сколько натуральных делителей имеет число $34969$?
10-F2-1-L6-gh3,10,6,62,"Комбинаторика, графы, вероятностный подсчёт",На конференции $12$ человек пожали друг другу руки. Сколько всего рукопожатий?
10-G1-2-L6-gst2,10,6,62,"Логика, множества, функции и отображения",На доске $7$ нулей. За ход к двум числам прибавляют $1$. Можно ли получить все единицы?
11-A3-2-L6-gh3,11,6,62,"Многочлены, последовательности, функциональные уравнения","Найдите сумму первых $8$ членов арифметической прогрессии: $9, 13, 17, 21, 25, 29, …$"
11-F2-1-L6-g911,11,6,62,Теория чисел и диофантовы задачи,На конференции $11$ человек пожали друг другу руки. Сколько всего рукопожатий?
5-E1-2-L6-g5,5,6,62,Комбинаторика и логика,Сколько натуральных делителей имеет число $5285401$?
6-A3-4-L6-g678,6,6,62,"Числа, делимость, НОД/НОК","Найдите сумму первых $9$ членов арифметической прогрессии: $6, 13, 20, 27, 34, 41, …$"
6-C1-1-L6-g678,6,6,62,Целые числа и координаты,Сколько натуральных делителей имеет число $38014691$?
9-D3-1-L6-gstub,9,6,62,Геометрия треугольника и окружности,Сколько натуральных делителей имеет число $7992538801$?
10-G1-5-L6-gst2,10,6,63,"Логика, множества, функции и отображения",На доске $11$ нулей. За ход к двум числам прибавляют $1$. Можно ли получить все единицы?
6-C3-1-L6-g678,6,6,63,Целые числа и координаты,Торт режут $11$ разрезами с перекладыванием. Какое наибольшее число равных частей можно получить?
5-C2-5-L6-g5,5,6,64,Геометрия и измерения,Найдите внутренний угол правильного $6$-угольника.
7-C2-1-L6-g678,7,6,64,Функции и графики,Найдите внутренний угол правильного $5$-угольника.
7-C3-4-L6-g678,7,6,64,Функции и графики,На какое наибольшее число частей делят пространство $3$ плоскостей?
8-C2-1-L6-gh2,8,6,64,Системы и текстовые задачи,Найдите внутренний угол правильного $8$-угольника.
9-C3-1-L6-gstub,9,6,64,"Функции, последовательности и олимпиадные конструкции",На какое наибольшее число частей делят пространство $2$ плоскостей?
11-A3-1-L6-gh3,11,6,65,"Многочлены, последовательности, функциональные уравнения","Найдите сумму первых $13$ членов арифметической прогрессии: $7, 11, 15, 19, 23, 27, …$"
11-C3-1-L6-gh3,11,6,65,Неравенства и оценки,На какое наибольшее число частей делят пространство $5$ плоскостей?
11-F3-1-L6-g911,11,6,65,Теория чисел и диофантовы задачи,"В мешке носки $8$ цветов (поровну). Какое наименьшее число носков нужно вытащить, чтобы гарантированно была пара одного цвета?"
5-A3-26-L6-g,5,6,65,Числа и делимость,"Найдите сумму первых $13$ членов арифметической прогрессии: $7, 14, 21, 28, 35, 42, …$"
5-A3-29-L6-g,5,6,65,Числа и делимость,"Найдите сумму первых $15$ членов арифметической прогрессии: $5, 11, 17, 23, 29, 35, …$"
5-C3-29-L6-g,5,6,65,Геометрия и измерения,На какое наибольшее число частей делят пространство $4$ плоскостей?
5-E3-29-L6-g,5,6,65,Комбинаторика и логика,На доске написаны числа от $1$ до $7$. За ход стирают два числа и пишут их сумму. Каким будет последнее число?
6-E3-5-L6-g678,6,6,65,"Геометрия, комбинаторика и логика",На доске написаны числа от $1$ до $9$. За ход стирают два числа и пишут их сумму. Каким будет последнее число?
7-A3-2-L6-g678,7,6,65,"Выражения, степени, многочлены","Найдите сумму первых $14$ членов арифметической прогрессии: $6, 8, 10, 12, 14, 16, …$"
8-F3-4-L6-g678,8,6,65,Теория чисел: остатки и диофантовы,"В мешке носки $6$ цветов (поровну). Какое наименьшее число носков нужно вытащить, чтобы гарантированно была пара одного цвета?"
9-A3-2-L6-gh3,9,6,65,"Квадратные уравнения, Виет, параметры","Найдите сумму первых $10$ членов арифметической прогрессии: $9, 14, 19, 24, 29, 34, …$"
10-E2-4-L6-g911,10,6,66,Теория чисел старшего уровня,В ряд стоят $15$ человек. Каждый (кроме крайних) сказал: «Среди моих соседей ровно $1$ рыцарей». При каких $1$ это возможно?
10-G2-6-L6-gf,10,6,66,"Логика, множества, функции и отображения",Можно ли доску $8\times8$ без одной клетки замостить доминошками $1\times2$?
10-G2-9-L6-gf,10,6,66,"Логика, множества, функции и отображения",Можно ли доску $6\times6$ без одной клетки замостить доминошками $1\times2$?
5-C2-3-L6-g5,5,6,66,Геометрия и измерения,Найдите внутренний угол правильного $10$-угольника.
7-C2-5-L6-g678,7,6,66,Функции и графики,Найдите внутренний угол правильного $12$-угольника.
7-E2-1-L6-g678,7,6,66,Делимость и остатки,В ряд стоят $10$ человек. Каждый (кроме крайних) сказал: «Среди моих соседей ровно $2$ рыцарей». При каких $2$ это возможно?
10-G2-7-L6-gf,10,6,67,"Логика, множества, функции и отображения",Можно ли доску $10\times10$ без одной клетки замостить доминошками $1\times2$?
5-A3-27-L6-g,5,6,67,Числа и делимость,"Найдите сумму первых $14$ членов арифметической прогрессии: $8, 16, 24, 32, 40, 48, …$"
6-C3-4-L6-g678,6,6,67,Целые числа и координаты,Прямоугольник $3\times3$ режут на единичные квадратики (без перекладывания). Минимум разрезов?
7-C2-2-L6-g678,7,6,67,Функции и графики,Найдите сумму углов выпуклого $10$-угольника.
8-F1-1-L6-gh2,8,6,67,Теория чисел: остатки и диофантовы,Найдите сумму углов выпуклого $11$-угольника.
10-F3-2-L6-g911,10,6,68,"Комбинаторика, графы, вероятностный подсчёт","В мешке носки $13$ цветов (поровну). Какое наименьшее число носков нужно вытащить, чтобы гарантированно была пара одного цвета?"
7-F3-5-L6-g678,7,6,68,Комбинаторика и графы,"В мешке носки $10$ цветов (поровну). Какое наименьшее число носков нужно вытащить, чтобы гарантированно была пара одного цвета?"
5-C3-27-L6-g,5,6,69,Геометрия и измерения,Прямоугольник $4\times4$ режут на единичные квадратики (без перекладывания). Минимум разрезов?
7-C3-2-L6-g678,7,6,69,Функции и графики,Прямоугольник $5\times5$ режут на единичные квадратики (без перекладывания). Минимум разрезов?
11-G2-5-L6-gh3,11,6,70,"Комбинаторика, графы, логика",Прямоугольник $4\times5$ без двух противоположных углов. Можно ли замостить доминошками?
11-G2-6-L6-gh3,11,6,70,"Комбинаторика, графы, логика",Прямоугольник $3\times5$ без двух противоположных углов. Можно ли замостить доминошками?
8-G2-1-L6-g678,8,6,70,"Комбинаторика, логика, инварианты",Прямоугольник $3\times3$ без двух противоположных углов. Можно ли замостить доминошками?
8-G2-4-L6-g678,8,6,70,"Комбинаторика, логика, инварианты",Прямоугольник $3\times4$ без двух противоположных углов. Можно ли замостить доминошками?
8-G2-5-L6-g678,8,6,70,"Комбинаторика, логика, инварианты",Прямоугольник $4\times3$ без двух противоположных углов. Можно ли замостить доминошками?
9-A3-1-L6-gh4,9,6,70,"Квадратные уравнения, Виет, параметры",Сколько действительных корней у $x^4-(25)x^2+144=0$?
10-G3-2-L6-gstub,10,6,72,"Логика, множества, функции и отображения","Из кучи $20$ камней двое берут по $1$–$5$. Кто берёт последний, выигрывает. Кто победит?"
8-G3-2-L6-g678,8,6,72,"Комбинаторика, логика, инварианты","Из кучи $50$ камней двое берут по $1$–$5$. Кто берёт последний, выигрывает. Кто победит?"
11-G3-1-L6-gh4,11,6,73,"Комбинаторика, графы, логика",Какое наибольшее число рёбер в графе на $6$ вершинах без треугольников?
8-G3-1-L6-g678,8,6,73,"Комбинаторика, логика, инварианты","Из кучи $100$ камней двое берут по $1$–$5$. Кто берёт последний, выигрывает. Кто победит?"
11-G3-1-L6-gh5,11,6,74,"Комбинаторика, графы, логика",Наибольшее число рёбер в графе на $18$ вершинах без треугольников?
11-G3-2-L6-gh5,11,6,74,"Комбинаторика, графы, логика",Наибольшее число рёбер в графе на $10$ вершинах без треугольников?
11-G3-3-L6-gh5,11,6,74,"Комбинаторика, графы, логика",Наибольшее число рёбер в графе на $12$ вершинах без треугольников?
11-G3-4-L6-gh5,11,6,74,"Комбинаторика, графы, логика",Наибольшее число рёбер в графе на $14$ вершинах без треугольников?
6-E1-1-L6-gh1,6,6,74,"Геометрия, комбинаторика и логика",Сколькими способами можно рассадить $8$ человек на $5$ местах за круглым столом (места различимы)?
6-A1-1-L6-gh1,6,6,75,"Числа, делимость, НОД/НОК","Найдите наименьшее общее кратное чисел $24$ и $30$, если их НОД равен $6$."
9-G3-4-L6-gstub,9,6,75,"Логика, инварианты, стратегии","На столе $8$ спичек. За ход можно взять $1$, $2$ или $3$. Проигрывает взявший последнюю. Кто выиграет?"
7-G3-5-L6-g678,7,6,76,Логика и инварианты,"На столе $20$ спичек. За ход можно взять $1$, $2$ или $3$. Проигрывает взявший последнюю. Кто выиграет?"
10-F1-2-L6-g911,10,6,78,"Комбинаторика, графы, вероятностный подсчёт",Два внутренних угла треугольника равны $64^\circ$ и $72^\circ$. Найдите внешний угол при третьей вершине.
10-F1-6-L6-gf,10,6,78,"Комбинаторика, графы, вероятностный подсчёт",Два внутренних угла треугольника равны $77^\circ$ и $95^\circ$. Найдите внешний угол при третьей вершине.
11-C2-2-L6-gh3,11,6,78,Неравенства и оценки,Два внутренних угла треугольника равны $81^\circ$ и $74^\circ$. Найдите внешний угол при третьей вершине.
11-C2-3-L6-gh3,11,6,78,Неравенства и оценки,Два внутренних угла треугольника равны $92^\circ$ и $87^\circ$. Найдите внешний угол при третьей вершине.
11-C2-6-L6-gf,11,6,78,Неравенства и оценки,Два внутренних угла треугольника равны $88^\circ$ и $50^\circ$. Найдите внешний угол при третьей вершине.
5-C2-1-L6-g5,5,6,78,Геометрия и измерения,Два внутренних угла треугольника равны $64^\circ$ и $65^\circ$. Найдите внешний угол при третьей вершине.
6-C2-2-L6-g678,6,6,78,Целые числа и координаты,Два внутренних угла треугольника равны $84^\circ$ и $79^\circ$. Найдите внешний угол при третьей вершине.
7-C2-3-L6-g678,7,6,78,Функции и графики,Два внутренних угла треугольника равны $94^\circ$ и $62^\circ$. Найдите внешний угол при третьей вершине.
7-F1-3-L6-g678,7,6,78,Комбинаторика и графы,Два внутренних угла треугольника равны $90^\circ$ и $64^\circ$. Найдите внешний угол при третьей вершине.
8-C2-2-L6-g678,8,6,78,Системы и текстовые задачи,Два внутренних угла треугольника равны $79^\circ$ и $91^\circ$. Найдите внешний угол при третьей вершине.
8-F1-1-L6-g678,8,6,78,Теория чисел: остатки и диофантовы,Два внутренних угла треугольника равны $94^\circ$ и $59^\circ$. Найдите внешний угол при третьей вершине.
8-F1-3-L6-g678,8,6,78,Теория чисел: остатки и диофантовы,Два внутренних угла треугольника равны $98^\circ$ и $64^\circ$. Найдите внешний угол при третьей вершине.
10-F1-5-L6-g911,10,6,79,"Комбинаторика, графы, вероятностный подсчёт",Два внутренних угла треугольника равны $103^\circ$ и $51^\circ$. Найдите внешний угол при третьей вершине.
11-F1-2-L6-g911,11,6,79,Теория чисел и диофантовы задачи,Два внутренних угла треугольника равны $52^\circ$ и $109^\circ$. Найдите внешний угол при третьей вершине.
