job_id,replace_id,grade,difficulty,method_code,reason
semantic-replace-0085,11-C6-14,11,7,A1,semantic_template_repetition_high_level
semantic-replace-0086,11-C6-17,11,7,A1,semantic_template_repetition_high_level
semantic-replace-0087,11-C6-19,11,7,A1,semantic_template_repetition_high_level
semantic-replace-0088,11-C6-20,11,7,A1,semantic_template_repetition_high_level
semantic-replace-0089,11-C6-23,11,6,A1,semantic_template_repetition_high_level
semantic-replace-0090,11-C6-24,11,7,A1,semantic_template_repetition_high_level
semantic-replace-0091,11-C6-3,11,7,A1,semantic_template_repetition_high_level
semantic-replace-0092,11-C6-8,11,6,A1,semantic_template_repetition_high_level
semantic-replace-0093,11-C6-9,11,6,A1,semantic_template_repetition_high_level
semantic-replace-0094,11-D1-1-L8-g911,11,8,D1,semantic_template_repetition_high_level
semantic-replace-0095,11-D1-23,11,8,D1,semantic_template_repetition_high_level
semantic-replace-0096,11-D1-24,11,7,D1,semantic_template_repetition_high_level
semantic-replace-0097,11-D2-1-L6-gh4,11,6,D2,semantic_template_repetition_high_level
semantic-replace-0098,11-D2-10-L8-gf,11,8,D2,semantic_template_repetition_high_level
semantic-replace-0099,11-D2-2-L7-gh3,11,7,D2,semantic_template_repetition_high_level
semantic-replace-0100,11-D2-2-L7-gst2,11,7,D2,semantic_template_repetition_high_level
semantic-replace-0101,11-D2-3-L7-gh3,11,7,D2,semantic_template_repetition_high_level
semantic-replace-0102,11-D2-6-L7-gf,11,7,D2,semantic_template_repetition_high_level
semantic-replace-0103,11-D2-7-L8-gf,11,8,D2,semantic_template_repetition_high_level
semantic-replace-0104,11-D2-8-L8-gf,11,8,D2,semantic_template_repetition_high_level
semantic-replace-0105,11-F2-1-L6-g911,11,6,F2,semantic_template_repetition_high_level
semantic-replace-0106,11-F2-1-L8-g911,11,8,F2,semantic_template_repetition_high_level
semantic-replace-0107,11-F2-2-L8-g911,11,8,F2,semantic_template_repetition_high_level
semantic-replace-0108,11-F2-3-L8-g911,11,8,F2,semantic_template_repetition_high_level
semantic-replace-0109,11-F3-1-L6-g911,11,6,F3,semantic_template_repetition_high_level
semantic-replace-0110,11-G2-1-L6-gh3,11,6,G2,semantic_template_repetition_high_level
semantic-replace-0111,11-G2-2-L6-gh3,11,6,G2,semantic_template_repetition_high_level
semantic-replace-0112,11-G2-4-L6-gh3,11,6,G2,semantic_template_repetition_high_level
semantic-replace-0113,11-G2-5-L6-gh3,11,6,G2,semantic_template_repetition_high_level
semantic-replace-0114,11-G2-6-L6-gh3,11,6,G2,semantic_template_repetition_high_level
semantic-replace-0115,11-G2-7-L6-gh3,11,6,G2,semantic_template_repetition_high_level
semantic-replace-0116,5-A1-3-L6-g5,5,6,A1,semantic_template_repetition_high_level
semantic-replace-0117,5-A2-2-L8-gh1,5,8,A2,semantic_template_repetition_high_level
semantic-replace-0118,5-A2-3-L7-g5,5,7,A2,semantic_template_repetition_high_level
semantic-replace-0119,5-A2-3-L8-gh1,5,8,A2,semantic_template_repetition_high_level
semantic-replace-0120,5-A2-4-L7-g5,5,7,A2,semantic_template_repetition_high_level
semantic-replace-0121,5-A2-4-L8-g5,5,8,A2,semantic_template_repetition_high_level
semantic-replace-0122,5-A2-5-L6-g5,5,6,A2,semantic_template_repetition_high_level
semantic-replace-0123,5-A2-5-L7-g5,5,7,A2,semantic_template_repetition_high_level
semantic-replace-0124,5-B1-3-L6-g5,5,6,B1,semantic_template_repetition_high_level
semantic-replace-0125,5-B1-5-L6-g5,5,6,B1,semantic_template_repetition_high_level
semantic-replace-0126,5-B2-27-L6-g,5,6,B2,semantic_template_repetition_high_level
semantic-replace-0127,5-B2-28-L6-g,5,6,B2,semantic_template_repetition_high_level
semantic-replace-0128,5-B2-29-L6-g,5,6,B2,semantic_template_repetition_high_level
semantic-replace-0129,5-B3-28-L6-g,5,6,B3,semantic_template_repetition_high_level
semantic-replace-0130,5-D1-3-L6-g5,5,6,D1,semantic_template_repetition_high_level
semantic-replace-0131,6-A1-1-L6-g678,6,6,A1,semantic_template_repetition_high_level
semantic-replace-0132,6-A1-1-L6-gh1,6,6,A1,semantic_template_repetition_high_level
semantic-replace-0133,6-A1-5-L8-g678,6,8,OLY,semantic_template_repetition_high_level
semantic-replace-0134,6-A2-2-L8-g678,6,8,A2,semantic_template_repetition_high_level
semantic-replace-0135,6-A3-2-L7-gh1,6,7,OLY,semantic_template_repetition_high_level
semantic-replace-0136,6-A3-4-L7-g678,6,7,A3,semantic_template_repetition_high_level
semantic-replace-0137,6-B1-1-L6-g678,6,6,B1,semantic_template_repetition_high_level
semantic-replace-0138,6-B1-3-L6-g678,6,6,B1,semantic_template_repetition_high_level
semantic-replace-0139,6-B1-5-L6-g678,6,6,B1,semantic_template_repetition_high_level
semantic-replace-0140,6-B2-1-L6-g678,6,6,B2,semantic_template_repetition_high_level
semantic-replace-0141,6-B2-4-L6-g678,6,6,B2,semantic_template_repetition_high_level
semantic-replace-0142,6-B3-5-L6-g678,6,6,B3,semantic_template_repetition_high_level
semantic-replace-0143,7-A1-1-L7-g678,7,7,A1,semantic_template_repetition_high_level
semantic-replace-0144,7-A1-1-L8-gh2,7,8,A1,semantic_template_repetition_high_level
semantic-replace-0145,7-A1-2-L7-gh2,7,7,A1,semantic_template_repetition_high_level
semantic-replace-0146,7-A1-3-L6-g678,7,6,A1,semantic_template_repetition_high_level
semantic-replace-0147,7-A1-3-L7-g678,7,7,A1,semantic_template_repetition_high_level
semantic-replace-0148,7-A2-1-L8-gh2,7,8,A2,semantic_template_repetition_high_level
semantic-replace-0149,7-A2-2-L7-gh2,7,7,A2,semantic_template_repetition_high_level
semantic-replace-0150,7-A2-3-L7-g678,7,7,A2,semantic_template_repetition_high_level
semantic-replace-0151,7-A2-5-L8-g678,7,8,A2,semantic_template_repetition_high_level
semantic-replace-0152,7-A3-1-L8-gh2,7,8,A3,semantic_template_repetition_high_level
semantic-replace-0153,7-A3-3-L8-g678,7,8,A3,semantic_template_repetition_high_level
semantic-replace-0154,7-A3-4-L7-g678,7,7,A3,semantic_template_repetition_high_level
semantic-replace-0155,7-B1-2-L6-g678,7,6,B1,semantic_template_repetition_high_level
semantic-replace-0156,7-B1-3-L6-g678,7,6,B1,semantic_template_repetition_high_level
semantic-replace-0157,7-B2-2-L8-g678,7,8,B2,semantic_template_repetition_high_level
semantic-replace-0158,7-B2-4-L6-g678,7,6,B2,semantic_template_repetition_high_level
semantic-replace-0159,7-B2-4-L8-g678,7,8,B2,semantic_template_repetition_high_level
semantic-replace-0160,7-B2-5-L6-g678,7,6,B2,semantic_template_repetition_high_level
semantic-replace-0161,7-C1-2-L7-g678,7,7,OLY,semantic_template_repetition_high_level
semantic-replace-0162,7-C3-1-L7-g678,7,7,C3,semantic_template_repetition_high_level
semantic-replace-0163,7-C3-1-L8-g678,7,8,C3,semantic_template_repetition_high_level
semantic-replace-0164,7-C3-3-L8-g678,7,8,C3,semantic_template_repetition_high_level
semantic-replace-0165,7-C3-4-L8-g678,7,8,C3,semantic_template_repetition_high_level
semantic-replace-0166,7-D1-5-L6-g678,7,6,D1,semantic_template_repetition_high_level
semantic-replace-0167,7-D1-5-L7-g678,7,7,OLY,semantic_template_repetition_high_level
semantic-replace-0168,7-E1-1-L7-g678,7,7,E1,semantic_template_repetition_high_level
semantic-replace-0169,7-E1-2-L7-g678,7,7,E1,semantic_template_repetition_high_level
semantic-replace-0170,7-E1-4-L7-g678,7,7,E1,semantic_template_repetition_high_level
semantic-replace-0171,7-E1-5-L7-g678,7,7,E1,semantic_template_repetition_high_level
semantic-replace-0172,7-F2-1-L6-g678,7,6,F2,semantic_template_repetition_high_level
semantic-replace-0173,7-F2-2-L6-gh2,7,6,F2,semantic_template_repetition_high_level
semantic-replace-0174,7-F2-5-L7-g678,7,7,F2,semantic_template_repetition_high_level
semantic-replace-0175,7-F3-1-L6-g678,7,6,F3,semantic_template_repetition_high_level
semantic-replace-0176,7-F3-5-L6-g678,7,6,F3,semantic_template_repetition_high_level
semantic-replace-0177,7-G2-2-L6-g678,7,6,G2,semantic_template_repetition_high_level
semantic-replace-0178,7-G2-2-L8-g678,7,8,G2,semantic_template_repetition_high_level
semantic-replace-0179,7-G2-5-L6-g678,7,6,G2,semantic_template_repetition_high_level
semantic-replace-0180,7-G2-5-L7-g678,7,7,G2,semantic_template_repetition_high_level
semantic-replace-0181,7-G3-2-L6-g678,7,6,G3,semantic_template_repetition_high_level
semantic-replace-0182,7-G3-4-L6-g678,7,6,G3,semantic_template_repetition_high_level
semantic-replace-0183,8-A1-1-L7-gh2,8,7,A1,semantic_template_repetition_high_level
semantic-replace-0184,8-A1-4-L6-g678,8,6,A1,semantic_template_repetition_high_level
semantic-replace-0185,8-A1-7-L6-gf,8,6,A1,semantic_template_repetition_high_level
semantic-replace-0186,8-A2-1-L7-g678,8,7,A2,semantic_template_repetition_high_level
semantic-replace-0187,8-A2-2-L7-g678,8,7,A2,semantic_template_repetition_high_level
semantic-replace-0188,8-A2-2-L8-g678,8,8,A2,semantic_template_repetition_high_level
semantic-replace-0189,8-A2-3-L8-g678,8,8,A2,semantic_template_repetition_high_level
semantic-replace-0190,8-A2-4-L7-g678,8,7,A2,semantic_template_repetition_high_level
semantic-replace-0191,8-A2-L8-fill-0160,8,8,A2,semantic_template_repetition_high_level
semantic-replace-0192,8-A3-1-L7-gh4,8,7,OLY,semantic_template_repetition_high_level
semantic-replace-0193,8-A3-1-L8-gh4,8,8,A3,semantic_template_repetition_high_level
semantic-replace-0194,8-A3-1-L8-gh5,8,8,A3,semantic_template_repetition_high_level
semantic-replace-0195,8-A3-2-L8-gh5,8,8,A3,semantic_template_repetition_high_level
semantic-replace-0196,8-A3-3-L8-gh5,8,8,A3,semantic_template_repetition_high_level
semantic-replace-0197,8-A3-4-L8-gh5,8,8,A3,semantic_template_repetition_high_level
semantic-replace-0198,8-B1-1-L6-g678,8,6,B1,semantic_template_repetition_high_level
semantic-replace-0199,8-B1-3-L6-g678,8,6,B1,semantic_template_repetition_high_level
semantic-replace-0200,8-B1-4-L6-g678,8,6,B1,semantic_template_repetition_high_level
semantic-replace-0201,8-B2-1-L6-g678,8,6,B2,semantic_template_repetition_high_level
semantic-replace-0202,8-B2-2-L6-g678,8,6,B2,semantic_template_repetition_high_level
semantic-replace-0203,8-B2-4-L6-g678,8,6,B2,semantic_template_repetition_high_level
semantic-replace-0204,8-B2-4-L8-g678,8,8,B2,semantic_template_repetition_high_level
semantic-replace-0205,8-B3-1-L8-g678,8,8,B3,semantic_template_repetition_high_level
semantic-replace-0206,8-B3-2-L6-g678,8,6,B3,semantic_template_repetition_high_level
semantic-replace-0207,8-B3-4-L6-g678,8,6,B3,semantic_template_repetition_high_level
semantic-replace-0208,8-B3-L8-fill-0146,8,8,B3,semantic_template_repetition_high_level
semantic-replace-0209,8-C1-1-L7-gh5,8,7,C1,semantic_template_repetition_high_level
semantic-replace-0210,8-C1-1-L8-gh2,8,8,C1,semantic_template_repetition_high_level
semantic-replace-0211,8-C1-1-L8-gh5,8,8,C1,semantic_template_repetition_high_level
semantic-replace-0212,8-C1-2-L7-g678,8,7,C1,semantic_template_repetition_high_level
semantic-replace-0213,8-C1-3-L8-gh5,8,8,C1,semantic_template_repetition_high_level
semantic-replace-0214,8-D1-3-L7-g678,8,7,D1,semantic_template_repetition_high_level
semantic-replace-0215,8-D1-4-L8-g678,8,8,D1,semantic_template_repetition_high_level
semantic-replace-0216,8-D1-5-L7-g678,8,7,D1,semantic_template_repetition_high_level
semantic-replace-0217,8-D1-5-L8-g678,8,8,D1,semantic_template_repetition_high_level
semantic-replace-0218,8-D1-L8-fill-0161,8,8,D1,semantic_template_repetition_high_level
semantic-replace-0219,8-D2-3-L7-g678,8,7,D2,semantic_template_repetition_high_level
semantic-replace-0220,8-D2-4-L7-g678,8,7,D2,semantic_template_repetition_high_level
semantic-replace-0221,8-D2-4-L8-g678,8,8,D2,semantic_template_repetition_high_level
semantic-replace-0222,8-D2-5-L8-g678,8,8,D2,semantic_template_repetition_high_level
semantic-replace-0223,8-D3-1-L8-g678,8,8,D3,semantic_template_repetition_high_level
semantic-replace-0224,8-D3-2-L7-g678,8,7,D3,semantic_template_repetition_high_level
semantic-replace-0225,8-D3-3-L6-g678,8,6,D3,semantic_template_repetition_high_level
semantic-replace-0226,8-D3-4-L7-g678,8,7,D3,semantic_template_repetition_high_level
semantic-replace-0227,8-D3-5-L8-g678,8,8,D3,semantic_template_repetition_high_level
semantic-replace-0228,8-E1-3-L6-g678,8,6,E1,semantic_template_repetition_high_level
semantic-replace-0229,8-F1-5-L8-g678,8,8,OLY,semantic_template_repetition_high_level
semantic-replace-0230,8-F2-1-L8-g678,8,8,F2,semantic_template_repetition_high_level
semantic-replace-0231,8-F2-2-L6-g678,8,6,F2,semantic_template_repetition_high_level
semantic-replace-0232,8-F2-2-L8-g678,8,8,F2,semantic_template_repetition_high_level
semantic-replace-0233,8-F2-3-L7-g678,8,7,F2,semantic_template_repetition_high_level
semantic-replace-0234,8-F2-3-L8-g678,8,8,F2,semantic_template_repetition_high_level
semantic-replace-0235,8-F2-5-L6-g678,8,6,F2,semantic_template_repetition_high_level
semantic-replace-0236,8-F2-5-L7-g678,8,7,F2,semantic_template_repetition_high_level
semantic-replace-0237,8-F3-1-L6-gh2,8,6,F3,semantic_template_repetition_high_level
semantic-replace-0238,8-F3-1-L7-g678,8,7,F3,semantic_template_repetition_high_level
semantic-replace-0239,8-F3-3-L6-g678,8,6,F3,semantic_template_repetition_high_level
semantic-replace-0240,8-F3-4-L6-g678,8,6,F3,semantic_template_repetition_high_level
semantic-replace-0241,8-F3-5-L8-g678,8,8,F3,semantic_template_repetition_high_level
semantic-replace-0242,8-G2-1-L6-g678,8,6,G2,semantic_template_repetition_high_level
semantic-replace-0243,8-G2-2-L6-g678,8,6,G2,semantic_template_repetition_high_level
semantic-replace-0244,8-G2-3-L6-g678,8,6,G2,semantic_template_repetition_high_level
semantic-replace-0245,8-G2-4-L6-g678,8,6,G2,semantic_template_repetition_high_level
semantic-replace-0246,8-G2-5-L6-g678,8,6,G2,semantic_template_repetition_high_level
semantic-replace-0247,9-A1-1-L8-gh4,9,8,A1,semantic_template_repetition_high_level
semantic-replace-0248,9-A1-1-L8-gh5,9,8,A1,semantic_template_repetition_high_level
semantic-replace-0249,9-A1-2-L8-gh5,9,8,A1,semantic_template_repetition_high_level
semantic-replace-0250,9-A1-3-L8-gh5,9,8,A1,semantic_template_repetition_high_level
semantic-replace-0251,9-A1-4-L8-gh5,9,8,A1,semantic_template_repetition_high_level
semantic-replace-0252,9-A1-L7-fill-0233,9,7,A1,semantic_template_repetition_high_level
semantic-replace-0253,9-A1-L8-fill-0235,9,8,A1,semantic_template_repetition_high_level
semantic-replace-0254,9-A2-1,9,7,A2,semantic_template_repetition_high_level
semantic-replace-0255,9-A2-24,9,6,A2,semantic_template_repetition_high_level
semantic-replace-0256,9-A2-3,9,7,A2,semantic_template_repetition_high_level
semantic-replace-0257,9-A2-3-L8-g911,9,8,A2,semantic_template_repetition_high_level
semantic-replace-0258,9-A2-4,9,7,A2,semantic_template_repetition_high_level
semantic-replace-0259,9-A2-6,9,7,A2,semantic_template_repetition_high_level
semantic-replace-0260,9-B1-1-L8-gh3,9,8,B1,semantic_template_repetition_high_level
semantic-replace-0261,9-B1-2-L8-gh3,9,8,B1,semantic_template_repetition_high_level
semantic-replace-0262,9-B1-3-L8-gh3,9,8,B1,semantic_template_repetition_high_level
semantic-replace-0263,9-B1-9,9,7,B1,semantic_template_repetition_high_level
semantic-replace-0264,9-B1-L7-fill-0226,9,7,B1,semantic_template_repetition_high_level
semantic-replace-0265,9-B1-L8-fill-0243,9,8,B1,semantic_template_repetition_high_level
semantic-replace-0266,9-B2-2-L6-g911,9,6,B2,semantic_template_repetition_high_level
semantic-replace-0267,9-B2-3-L6-g911,9,6,B2,semantic_template_repetition_high_level
semantic-replace-0268,9-B2-5-L8-g911,9,8,B2,semantic_template_repetition_high_level
semantic-replace-0269,9-B3-1-L8-g911,9,8,OLY,semantic_template_repetition_high_level
semantic-replace-0270,9-B3-2-L6-gh3,9,6,B3,semantic_template_repetition_high_level
semantic-replace-0271,9-C1-1,9,7,C1,semantic_template_repetition_high_level
semantic-replace-0272,9-C1-19,9,7,C1,semantic_template_repetition_high_level
semantic-replace-0273,9-C1-22,9,8,C1,semantic_template_repetition_high_level
semantic-replace-0274,9-C1-23,9,6,C1,semantic_template_repetition_high_level
semantic-replace-0275,9-C1-8,9,6,C1,semantic_template_repetition_high_level
semantic-replace-0276,9-C5-1,9,8,E1,semantic_template_repetition_high_level
semantic-replace-0277,9-C5-11,9,7,C1,semantic_template_repetition_high_level
semantic-replace-0278,9-C5-19,9,7,B3,semantic_template_repetition_high_level
semantic-replace-0279,9-C5-2,9,6,A1,semantic_template_repetition_high_level
semantic-replace-0280,9-C5-24,9,7,C1,semantic_template_repetition_high_level
semantic-replace-0281,9-C5-6,9,7,A3,semantic_template_repetition_high_level
semantic-replace-0282,9-C5-7,9,6,A3,semantic_template_repetition_high_level
semantic-replace-0283,9-C5-9,9,7,A1,semantic_template_repetition_high_level
semantic-replace-0284,9-D1b-10,9,6,A2,semantic_template_repetition_high_level
semantic-replace-0285,9-D1b-13,9,7,E3,semantic_template_repetition_high_level
semantic-replace-0286,9-D1b-15,9,7,E1,semantic_template_repetition_high_level
semantic-replace-0287,9-D1b-2,9,7,A1,semantic_template_repetition_high_level
semantic-replace-0288,9-E1-4,9,6,E1,semantic_template_repetition_high_level
semantic-replace-0289,9-E14-12,9,7,F3,semantic_template_repetition_high_level
semantic-replace-0290,9-E2-3-L7-g911,9,7,E2,semantic_template_repetition_high_level
semantic-replace-0291,9-E2-4-L7-g911,9,7,E2,semantic_template_repetition_high_level
semantic-replace-0292,9-F11-17,9,8,F2,semantic_template_repetition_high_level
semantic-replace-0293,9-F13-19,9,6,A2,semantic_template_repetition_high_level
semantic-replace-0294,9-F4-20,9,6,A2,semantic_template_repetition_high_level
semantic-replace-0295,9-F4a-5,9,7,A2,semantic_template_repetition_high_level
semantic-replace-0296,9-F8-16,9,7,A2,semantic_template_repetition_high_level
semantic-replace-0297,9-F8-21,9,7,A2,semantic_template_repetition_high_level
semantic-replace-0298,9-G3-5-L6-gstub,9,6,G3,semantic_template_repetition_high_level
semantic-replace-0299,9-H2-1,9,7,C2,semantic_template_repetition_high_level
semantic-replace-0300,9-H2-10,9,8,C2,semantic_template_repetition_high_level
semantic-replace-0301,9-H2-11,9,6,C2,semantic_template_repetition_high_level
semantic-replace-0302,9-H2-13,9,7,A1,semantic_template_repetition_high_level
semantic-replace-0303,9-H2-14,9,7,C2,semantic_template_repetition_high_level
semantic-replace-0304,9-H2-15,9,6,C2,semantic_template_repetition_high_level
semantic-replace-0305,9-H2-16,9,7,C2,semantic_template_repetition_high_level
semantic-replace-0306,9-H2-17,9,7,A1,semantic_template_repetition_high_level
semantic-replace-0307,9-H2-18,9,6,C2,semantic_template_repetition_high_level
semantic-replace-0308,9-H2-19,9,7,C2,semantic_template_repetition_high_level
semantic-replace-0309,9-H2-2,9,8,C2,semantic_template_repetition_high_level
semantic-replace-0310,9-H2-20,9,7,C2,semantic_template_repetition_high_level
semantic-replace-0311,9-H2-21,9,6,C2,semantic_template_repetition_high_level
semantic-replace-0312,9-H2-22,9,7,C2,semantic_template_repetition_high_level
semantic-replace-0313,9-H2-23,9,6,C2,semantic_template_repetition_high_level
semantic-replace-0314,9-H2-24,9,8,C2,semantic_template_repetition_high_level
semantic-replace-0315,9-H2-25,9,7,F3,semantic_template_repetition_high_level
semantic-replace-0316,9-H2-3,9,6,C2,semantic_template_repetition_high_level
semantic-replace-0317,9-H2-4,9,6,C2,semantic_template_repetition_high_level
semantic-replace-0318,9-H2-5,9,6,C2,semantic_template_repetition_high_level
semantic-replace-0319,9-H2-6,9,6,C2,semantic_template_repetition_high_level
semantic-replace-0320,9-H2-7,9,6,C1,semantic_template_repetition_high_level
