id,grade,level,families,solution_len,answer,task_text
5-A1-3-L6-g5,5,6,gcd_lcm_basic,93,$4$,Найдите наибольший общий делитель чисел $5^{9}-1$ и $5^{26}-1$.
5-A2-5-L6-g5,5,6,gcd_lcm_basic,94,$4$,Найдите наибольший общий делитель чисел $5^{11}-1$ и $5^{16}-1$.
5-A2-3-L7-g5,5,7,crt_basic,266,209,"Найдите наименьшее натуральное число, которое при делении на 5 даёт остаток 4, при делении на 6 даёт остаток 5, а при делении на 7 даёт остаток 6."
5-A2-4-L7-g5,5,7,crt_basic,823,383,"Найдите наименьшее натуральное число, которое при делении на 5 даёт остаток 3, при делении на 7 даёт остаток 4, а при делении на 9 даёт остаток 5."
5-A2-5-L7-g5,5,7,crt_basic,406,119,"Найдите наименьшее натуральное число, которое при делении на 2 даёт остаток 1, при делении на 3 даёт остаток 2, при делении на 4 даёт остаток 3, при делении на 5 даёт остаток 4, при делении на 6 даёт остаток 5, а на 7 делится нацело."
5-A2-2-L8-gh1,5,8,crt_basic,882,119,"Найдите наименьшее натуральное число, которое при делении на 3 даёт остаток 2, при делении на 4 даёт остаток 3, при делении на 5 даёт остаток 4, при делении на 6 даёт остаток 5, а при делении на 7 даёт остаток 0."
5-A2-3-L8-gh1,5,8,crt_basic,841,2519,"Найдите наименьшее натуральное число, которое при делении на 4 даёт остаток 3, при делении на 5 даёт остаток 4, при делении на 6 даёт остаток 5, при делении на 7 даёт остаток 6, при делении на 8 даёт остаток 7, при делении на 9 даёт остаток 8."
5-A2-4-L8-g5,5,8,crt_basic,532,18,"Натуральное число $n$ при делении на $5$ даёт остаток $3$, а при делении на $7$ — остаток $4$. Какие остатки может давать $n$ при делении на $35$? Найдите все возможные остатки и докажите, что других нет."
5-B1-3-L6-g5,5,6,fraction_of_number,27,$60$,От числа $120$ взяли его $\d\frac{1}{2}$. Какое число получили?
5-B1-5-L6-g5,5,6,fraction_of_number,28,$133$,От числа $267$ взяли его $\d\frac{1}{2}$. Какое число получили?
5-B2-27-L6-g,5,6,fraction_of_number,26,$43$,От числа $87$ взяли его $\d\frac{1}{2}$. Какое число получили?
5-B2-28-L6-g,5,6,fraction_of_number,28,$102$,От числа $204$ взяли его $\d\frac{1}{2}$. Какое число получили?
5-B2-29-L6-g,5,6,fraction_of_number,81,$60$ руб.,"У Васи было $120$ рублей. Сначала он потратил $\d\frac{1}{3}$ всех денег, а затем $\d\frac{1}{4}$ остатка. Сколько рублей осталось?"
5-B3-28-L6-g,5,6,fraction_of_number,27,$67$,От числа $201$ взяли его $\d\frac{1}{3}$. Какое число получили?
5-C3-16-L4-g,5,4,domino_tiling,70,$15$,Прямоугольник $6\times 5$ разрезали на доминошки $1\times 2$. Сколько доминошек получилось?
5-C3-17-L4-g,5,4,domino_tiling,70,$12$,Прямоугольник $6\times 4$ разрезали на доминошки $1\times 2$. Сколько доминошек получилось?
5-C3-18-L4-g,5,4,domino_tiling,70,$21$,Прямоугольник $6\times 7$ разрезали на доминошки $1\times 2$. Сколько доминошек получилось?
5-C3-19-L4-g,5,4,domino_tiling,70,$10$,Прямоугольник $5\times 4$ разрезали на доминошки $1\times 2$. Сколько доминошек получилось?
5-C3-20-L4-g,5,4,domino_tiling,70,$17$,Прямоугольник $5\times 7$ разрезали на доминошки $1\times 2$. Сколько доминошек получилось?
5-C3-21-L5-g,5,5,domino_tiling,31,Нельзя,Можно ли разрезать квадрат $7\times 7$ на доминошки $1\times 2$?
5-C3-22-L5-g,5,5,domino_tiling,32,Нельзя,Можно ли разрезать квадрат $15\times 15$ на доминошки $1\times 2$?
5-C3-23-L5-g,5,5,domino_tiling,32,Нельзя,Можно ли разрезать квадрат $11\times 11$ на доминошки $1\times 2$?
5-C3-24-L5-g,5,5,domino_tiling,32,Нельзя,Можно ли разрезать квадрат $13\times 13$ на доминошки $1\times 2$?
5-C3-25-L5-g,5,5,domino_tiling,31,Нельзя,Можно ли разрезать квадрат $9\times 9$ на доминошки $1\times 2$?
5-D1-3-L6-g5,5,6,gcd_lcm_basic,94,$8$,Найдите наибольший общий делитель чисел $3^{10}-1$ и $3^{12}-1$.
6-A1-1-L1-g,6,1,fraction_of_number,46,$1$,Вычислите: $\d\frac{2}{3}+\d\frac{1}{3}$.
6-A1-10-L1-g,6,1,fraction_of_number,48,$1$,Вычислите: $\d\frac{4}{7}+\d\frac{3}{7}$.
6-A1-2-L1-g,6,1,fraction_of_number,48,$1$,Вычислите: $\d\frac{6}{8}+\d\frac{2}{8}$.
6-A1-3-L1-g,6,1,fraction_of_number,49,$1$,Вычислите: $\d\frac{8}{12}+\d\frac{2}{6}$.
6-A1-4-L1-g,6,1,fraction_of_number,49,$1$,Вычислите: $\d\frac{2}{6}+\d\frac{8}{12}$.
6-A1-5-L1-g,6,1,fraction_of_number,48,$1$,Вычислите: $\d\frac{6}{9}+\d\frac{1}{3}$.
6-A1-6-L1-g,6,1,fraction_of_number,49,$1$,Вычислите: $\d\frac{2}{4}+\d\frac{6}{12}$.
6-A1-7-L1-g,6,1,fraction_of_number,48,$1$,Вычислите: $\d\frac{1}{3}+\d\frac{4}{6}$.
6-A1-8-L1-g,6,1,fraction_of_number,48,$1$,Вычислите: $\d\frac{4}{6}+\d\frac{1}{3}$.
6-A1-9-L1-g,6,1,fraction_of_number,48,$1$,Вычислите: $\d\frac{4}{8}+\d\frac{4}{8}$.
6-D1-10-L1-g,6,1,gcd_lcm_basic,34,$1$,Найдите наибольший общий делитель чисел 22 и 45.
6-D1-11-L1-g,6,1,gcd_lcm_basic,34,$6$,Найдите наибольший общий делитель чисел 84 и 90.
6-D1-12-L1-g,6,1,gcd_lcm_basic,36,$2$,Найдите наибольший общий делитель чисел 160 и 158.
6-D1-13-L1-g,6,1,gcd_lcm_basic,36,$3$,Найдите наибольший общий делитель чисел 153 и 165.
6-D1-2-L1-g,6,1,gcd_lcm_basic,35,$1$,Найдите наибольший общий делитель чисел 106 и 75.
6-D1-3-L1-g,6,1,gcd_lcm_basic,36,$33$,Найдите наибольший общий делитель чисел 165 и 66.
6-D1-5-L1-g,6,1,gcd_lcm_basic,35,$2$,Найдите наибольший общий делитель чисел 184 и 74.
6-D1-8-L1-g,6,1,gcd_lcm_basic,36,$1$,Найдите наибольший общий делитель чисел 133 и 122.
6-A1-11-L2-g,6,2,fraction_of_number,52,$1$,Вычислите: $\d\frac{8}{12}+\d\frac{4}{12}$.
6-A1-12-L2-g,6,2,fraction_of_number,48,$1$,Вычислите: $\d\frac{2}{4}+\d\frac{4}{8}$.
6-A1-13-L2-g,6,2,fraction_of_number,48,$1$,Вычислите: $\d\frac{2}{4}+\d\frac{2}{4}$.
6-A1-14-L2-g,6,2,fraction_of_number,49,$1$,Вычислите: $\d\frac{3}{4}+\d\frac{3}{12}$.
6-A1-15-L2-g,6,2,fraction_of_number,48,$1$,Вычислите: $\d\frac{6}{9}+\d\frac{2}{6}$.
6-D1-17-L2-g,6,2,gcd_lcm_basic,35,$1$,Найдите наибольший общий делитель чисел 155 и 98.
6-D1-18-L2-g,6,2,gcd_lcm_basic,35,$1$,Найдите наибольший общий делитель чисел 101 и 76.
6-D1-19-L2-g,6,2,gcd_lcm_basic,35,$1$,Найдите наибольший общий делитель чисел 152 и 83.
6-D1-21-L2-g,6,2,gcd_lcm_basic,36,$1$,Найдите наибольший общий делитель чисел 169 и 119.
6-D1-23-L2-g,6,2,gcd_lcm_basic,36,$1$,Найдите наибольший общий делитель чисел 119 и 158.
6-D1-25-L2-g,6,2,gcd_lcm_basic,34,$1$,Найдите наибольший общий делитель чисел 92 и 25.
6-D1-28-L2-g,6,2,gcd_lcm_basic,35,$1$,Найдите наибольший общий делитель чисел 159 и 41.
6-D1-29-L2-g,6,2,gcd_lcm_basic,35,$10$,Найдите наибольший общий делитель чисел 40 и 90.
6-G6-1-g,6,3,fraction_of_number,47,$16$,Для $x>0$ найдите наименьшее значение $x+\d\frac{64}{x}$.
6-E1-7-L4-g,6,4,handshake,42,$66$,На встрече $12$ человек обменялись рукопожатиями (каждый с каждым). Сколько всего рукопожатий?
6-G6-5-g,6,4,fraction_of_number,49,$22$,Для $x>0$ найдите наименьшее значение $x+\d\frac{121}{x}$.
6-A1-1-L5-g2,6,5,gcd_lcm_basic,234,$1$,Найдите наибольший общий делитель чисел $259$ и $181$.
6-A1-2-L5-g2,6,5,gcd_lcm_basic,304,$2$,Найдите наибольший общий делитель чисел $82$ и $134$.
6-A1-3-L5-g2,6,5,gcd_lcm_basic,290,$1$,Найдите наибольший общий делитель чисел $201$ и $364$.
6-A1-4-L5-g2,6,5,gcd_lcm_basic,213,$1$,Найдите наибольший общий делитель чисел $464$ и $191$.
6-A1-5-L5-g2,6,5,gcd_lcm_basic,256,$1$,Найдите наибольший общий делитель чисел $311$ и $239$.
6-A1-1-L6-g678,6,6,gcd_lcm_basic,157,12,Найдите наибольший общий делитель чисел $36$ и $48$.
6-A1-1-L6-gh1,6,6,gcd_lcm_basic,75,$120$,"Найдите наименьшее общее кратное чисел $24$ и $30$, если их НОД равен $6$."
6-A1-5-L8-g678,6,8,crt_basic,1973,$74$,"Прямоугольник 10 $\times$15 клеточек изначально покрашен в белый цвет. Каждая клеточка прямоугольника имеет свой номер (от 1 до 150). К клеточкам могут применяться правила раскрашивания: правило А) если номер клеточки дает остаток 1 при делении на 3, то клеточка рас- крашивается в красный цвет; 3 пр"
6-A2-1-L3-gtop2,6,3,quadratic_basic,30,$a=4$,При каком $a$ уравнение $4x^2=100$ имеет корень $x=5$?
6-A2-2-L8-g678,6,8,crt_basic,542,25201,"Найдите наименьшее натуральное число, которое делится на 11, а при делении на 2, 3, 4, 5, 6, 7, 8, 9, 10 даёт остаток 1."
6-A3-2-L7-gh1,6,7,crt_basic,762,$12$,"На доске было записано трехзначное число. Хулиган Петя на перемене стер у числа две цифры, так что на доске от этого числа осталась только цифра 3. Отличник Вася пытается восстановить исходное число, зная, что оно при делении на 3 дает остаток 2, а при делении на 5 — остаток 4. Сколько подходящих чи"
6-A3-4-L7-g678,6,7,crt_basic,326,59,"Найдите наименьшее натуральное число, которое при делении на 3 даёт остаток 2, при делении на 4 даёт остаток 3, а при делении на 5 даёт остаток 4."
6-B1-1-L6-g678,6,6,fraction_of_number,129,$150$ руб.,"У Васи было $240$ рублей. Сначала он потратил $\d\frac{1}{6}$ всех денег, а затем $\d\frac{2}{8}$ остатка. Сколько рублей осталось?"
6-B1-3-L6-g678,6,6,fraction_of_number,27,$53$,От числа $107$ взяли его $\d\frac{1}{2}$. Какое число получили?
6-B1-5-L6-g678,6,6,fraction_of_number,81,$40$ руб.,"У Васи было $120$ рублей. Сначала он потратил $\d\frac{1}{3}$ всех денег, а затем $\d\frac{1}{2}$ остатка. Сколько рублей осталось?"
6-B2-1-L6-g678,6,6,fraction_of_number,83,$90$ руб.,"У Васи было $180$ рублей. Сначала он потратил $\d\frac{1}{4}$ всех денег, а затем $\d\frac{1}{3}$ остатка. Сколько рублей осталось?"
6-B2-4-L6-g678,6,6,fraction_of_number,27,$29$,От числа $148$ взяли его $\d\frac{1}{5}$. Какое число получили?
6-B3-5-L6-g678,6,6,fraction_of_number,27,$94$,От числа $282$ взяли его $\d\frac{1}{3}$. Какое число получили?
7-A1-4-L5-gtop2,7,5,quadratic_basic,33,$87$,Найдите значение выражения $4x^2+5x+3$ при $x=4$.
7-A1-3-L6-g678,7,6,gcd_lcm_basic,92,$2$,Найдите наибольший общий делитель чисел $3^{5}-1$ и $3^{6}-1$.
7-A1-1-L7-g678,7,7,quadratic_basic,511,"$(0,0,0)$","Найдите все тройки целых чисел $(x, y, z)$, удовлетворяющие уравнению $x^2 + y^2 + z^2 = 2xyz$."
7-A1-2-L7-gh2,7,7,quadratic_basic,310,-24,"Найдите значение выражения $(x^2 - y^2)^2 - (x^2 + y^2)^2$ при $x = \sqrt{3}$, $y = \sqrt{2}$."
7-A1-3-L7-g678,7,7,quadratic_basic,260,0,Найдите значение выражения $(x^2-4x+4)(x^2+4x+4)-(x^2-4)^2$ при $x=123456789$.
7-A1-1-L8-gh2,7,8,quadratic_basic,2443,"$(3, -1)$","Найдите все пары целых чисел $(x, y)$, удовлетворяющие уравнению $x^2 + 4y^2 - 6x + 4y + 10 = 0$."
7-A2-2-L7-gh2,7,7,quadratic_basic,392,"$(1,1)$, $(-1,-1)$, $(1,-1)$, $(-1,1)$","Найдите все целые числа $x$ и $y$, для которых выполняется равенство $x^2 + y^2 = (x+y)^2 - 2xy$ и $x^2 + y^2 = 2$."
7-A2-3-L7-g678,7,7,quadratic_basic,371,"$(3, 3)$","Найдите все пары целых чисел $(x, y)$, для которых выполняется равенство $x^2 - 4xy + 5y^2 - 6y + 9 = 0$."
7-A2-1-L8-gh2,7,8,quadratic_basic,527,"$-3, 1, 3, 7$","Найдите все целые числа $x$, для которых выражение $\frac{2x^2 - 3x + 5}{x - 2}$ является целым числом."
7-A2-5-L8-g678,7,8,quadratic_basic,2225,"Доказательство: Так как $P(x)$ делится на $Q(x)$ при всех целых $x$, то для любого целого $x$ найдется целое $k(x)$ тако","Даны многочлены $P(x) = x^4 + ax^3 + bx^2 + cx + d$ с целыми коэффициентами и $Q(x) = x^2 + px + q$ также с целыми коэффициентами. Известно, что $P(x)$ делится на $Q(x)$ при всех целых $x$. Докажите, что $P(x)$ делится на $Q(x)$ как многочлен, то есть существует многочлен $R(x)$ с целыми коэффициент"
7-A3-21-L5-g2,7,5,gcd_lcm_basic,16,$1$,Найдите наибольший общий делитель коэффициентов в выражении $45x+31y$.
7-A3-22-L5-g2,7,5,gcd_lcm_basic,16,$1$,Найдите наибольший общий делитель коэффициентов в выражении $31x+56y$.
7-A3-23-L5-g2,7,5,fraction_of_number;quadratic_basic,48,$28$,Найдите значение $\d\frac{4x^2+8x}{x}$ при $x=5$.
7-A3-24-L5-g2,7,5,quadratic_basic,51,$2$,Чему равен коэффициент при $x^2$ в выражении $2x(x+3)$?
7-A3-4-L7-g678,7,7,quadratic_basic,393,$(x+1)(x-2)(x+3)$,Разложите на множители многочлен: $x^3 + 2x^2 - 5x - 6$.
7-A3-1-L8-gh2,7,8,quadratic_basic,656,$(x+1)^4$,"Разложите многочлен $x^4 + 4x^3 + 6x^2 + 4x + 1$ на множители с целыми коэффициентами. Докажите, что полученное разложение единственно с точностью до порядка множителей и умножения на $-1$."
7-A3-3-L8-g678,7,8,quadratic_basic,1033,нет таких целых n,"Найдите все целые числа $n$, для которых многочлен $P(x)=x^2+2x+2$ делит многочлен $Q(x)=x^{2n}+x^n+1$."
7-B1-2-L6-g678,7,6,fraction_of_number,28,$125$,От числа $250$ взяли его $\d\frac{1}{2}$. Какое число получили?
7-B1-3-L6-g678,7,6,fraction_of_number,27,$91$,От числа $182$ взяли его $\d\frac{1}{2}$. Какое число получили?
7-B2-4-L6-g678,7,6,fraction_of_number,81,$30$ руб.,"У Васи было $120$ рублей. Сначала он потратил $\d\frac{1}{2}$ всех денег, а затем $\d\frac{1}{2}$ остатка. Сколько рублей осталось?"
7-B2-5-L6-g678,7,6,fraction_of_number,27,$35$,От числа $176$ взяли его $\d\frac{1}{5}$. Какое число получили?
7-B2-2-L8-g678,7,8,quadratic_basic,2011,"$(1,1)$ и $(-1,-1)$","Найдите все пары целых чисел $(x, y)$, удовлетворяющие системе уравнений: $$\begin{cases} x^2 + y^2 = 2, \\ x^3 + y^3 = 2 \end{cases}$$"
7-B2-4-L8-g678,7,8,quadratic_basic,1433,"$(x, y) = (0, 1), (1, 0), (0, -1), (-1, 0)$","Найдите все пары целых чисел $(x, y)$, удовлетворяющие системе уравнений: \begin{cases} x^2 + y^2 = 4z + 1 \\ x + y + z = 0 \end{cases}, где $z$ — целое число."
7-C1-2-L7-g678,7,7,quadratic_basic,293,$17$,"Числа $d$ и $e$ являются корнями уравнения $x^2 - bx + c = 0 $, причём все числа $b, c, d, e$ натуральны. Известно, что $bcde = 5202 $. Какое наибольшее значение может принимать число $c$?"
7-C3-1-L7-g678,7,7,quadratic_basic,497,1,"На координатной плоскости нарисован график функции $y = x^2 - 4x + 3$. Сколько существует различных прямых, параллельных оси $Ox$, которые пересекают этот график ровно в одной точке?"
7-C3-1-L8-g678,7,8,quadratic_basic,507,"$a = 1$, точка $(1, 1)$.","На плоскости нарисован график функции $y = x^2 - 2x + 2$. Укажите все значения параметра $a$, при которых прямая $y = a$ пересекает график ровно в одной точке. Для каждого такого $a$ найдите координаты точки пересечения."
7-C3-3-L8-g678,7,8,quadratic_basic,621,"$a=3$, $b=-2$","На плоскости нарисованы графики функций $y=x^2$ и $y=ax+b$. Известно, что эти графики пересекаются в двух точках, одна из которых лежит на прямой $x=1$, а другая — на прямой $x=2$. Найдите все пары чисел $(a,b)$, при которых это возможно, и докажите, что других нет."
7-C3-4-L8-g678,7,8,quadratic_basic,982,$a = 1$,"Найдите все значения параметра $a$, при которых графики функций $y = |x^2 - 4x + 3|$ и $y = a$ имеют ровно три общие точки."
7-D1-5-L6-g678,7,6,gcd_lcm_basic,94,$1$,Найдите наибольший общий делитель чисел $2^{22}-1$ и $2^{25}-1$.
7-D1-5-L7-g678,7,7,quadratic_basic,1081,можно,"Можно ли подобрать целые числа A = 0, B = 0 и C = 0 так, чтобы каждый из многочленов
A $x^2 $+ Bxy + C $y^2 $, B $x^2 $+ Cxy + A $y^2 $ и C $x^2 $+ Axy + B $y^2 $ раскладывался в произведение двух
линейных множителей с целыми коэффициентами?"
7-G6-1-g,7,3,fraction_of_number,47,$14$,Для $x>0$ найдите наименьшее значение $x+\d\frac{49}{x}$.
7-G6-4-g,7,3,fraction_of_number,46,$8$,Для $x>0$ найдите наименьшее значение $x+\d\frac{16}{x}$.
7-G6-5-g,7,3,fraction_of_number,47,$18$,Для $x>0$ найдите наименьшее значение $x+\d\frac{81}{x}$.
7-E1-1-L7-g678,7,7,crt_basic,421,314,"Найдите наименьшее натуральное число, которое при делении на 5 даёт остаток 4, при делении на 7 даёт остаток 6, а при делении на 9 даёт остаток 8."
7-E1-2-L7-g678,7,7,crt_basic,1537,68,"Найдите наименьшее натуральное число, которое при делении на 5 даёт остаток 3, при делении на 7 даёт остаток 4, а при делении на 9 даёт остаток 5."
7-E1-4-L7-g678,7,7,crt_basic,1000,158,"Найдите наименьшее натуральное число, которое при делении на 5 даёт остаток 3, при делении на 7 даёт остаток 4, а при делении на 9 даёт остаток 5."
7-E1-5-L7-g678,7,7,crt_basic,508,419,"Найдите наименьшее натуральное число, которое при делении на 3 даёт остаток 2, при делении на 4 даёт остаток 3, при делении на 5 даёт остаток 4, а при делении на 7 даёт остаток 6."
7-F2-1-L1-g2,7,1,handshake,35,$45$,На встрече $10$ человек обменялись рукопожатиями (каждый с каждым). Сколько рукопожатий?
7-F2-1-L1-gtop2,7,1,handshake,33,$91$,"В комнате $14$ человек, каждый пожал руку каждому. Сколько рукопожатий?"
7-F2-2-L1-g2,7,1,handshake,33,$21$,На встрече $7$ человек обменялись рукопожатиями (каждый с каждым). Сколько рукопожатий?
7-F2-3-L1-g2,7,1,handshake,36,$66$,На встрече $12$ человек обменялись рукопожатиями (каждый с каждым). Сколько рукопожатий?
7-F2-4-L1-g2,7,1,handshake,33,$15$,На встрече $6$ человек обменялись рукопожатиями (каждый с каждым). Сколько рукопожатий?
7-F2-5-L2-g2,7,2,handshake,33,$28$,На встрече $8$ человек обменялись рукопожатиями (каждый с каждым). Сколько рукопожатий?
7-F2-6-L2-g2,7,2,handshake,33,$36$,На встрече $9$ человек обменялись рукопожатиями (каждый с каждым). Сколько рукопожатий?
7-F2-1-L3-gtop2,7,3,handshake,34,$171$,"В комнате $19$ человек, каждый пожал руку каждому. Сколько рукопожатий?"
7-F2-7-L3-g2,7,3,handshake,37,$105$,На встрече $15$ человек обменялись рукопожатиями (каждый с каждым). Сколько рукопожатий?
7-F2-2-L4-g3,7,4,handshake,30,$36$,"В комнате $9$ человек, каждый пожал руку каждому. Сколько рукопожатий?"
7-F2-3-L4-g3,7,4,handshake,34,$136$,"В комнате $17$ человек, каждый пожал руку каждому. Сколько рукопожатий?"
7-F2-1-L5-gtop2,7,5,handshake,33,$66$,"В комнате $12$ человек, каждый пожал руку каждому. Сколько рукопожатий?"
7-F2-5-L5-gtop2,7,5,handshake,33,$55$,"В комнате $11$ человек, каждый пожал руку каждому. Сколько рукопожатий?"
7-F2-1-L6-g678,7,6,handshake,11,$36$,На конференции $9$ человек пожали друг другу руки. Сколько рукопожатий?
7-F2-2-L6-gh2,7,6,complete_graph_edges,28,$28$,"В графе $8$ вершин, каждая соединена с каждой. Сколько рёбер?"
7-F2-5-L7-g678,7,7,handshake,374,"(1,72), (2,36), (3,24), (4,18), (6,12), (8,9), (9,8), (12,6), (18,4), (24,3), (36,2), (72,1)","На вечеринке каждый мальчик пожал руку каждой девочке ровно один раз. Всего было сделано 72 рукопожатия. Сколько мальчиков и сколько девочек могло быть на вечеринке? Укажите все возможные пары чисел (количество мальчиков, количество девочек)."
7-F3-3-L1-g3,7,1,fraction_of_number,178,нет,В квадрате со стороной $1$ выбрано $4$ точек. Обязательно ли среди них найдутся две на расстоянии не более $\d\frac{\sqrt{2}}{3}$?
7-F3-1-L6-g678,7,6,birthday_pigeonhole,32,$367$,Среди скольких человек найдутся двое с общим днём рождения (в невысокосный год)?
7-F3-5-L6-g678,7,6,socks_pigeonhole,68,$11$,"В мешке носки $10$ цветов (поровну). Какое наименьшее число носков нужно вытащить, чтобы гарантированно была пара одного цвета?"
7-G2-1-L1-g3,7,1,domino_tiling,43,$32$,Доску $8\times8$ покрыли доминошками. Сколько всего доминошек?
7-G2-1-L2-g3,7,2,domino_tiling,68,Нельзя,Можно ли доску $7\times7$ покрыть доминошками $1\times2$ целиком?
7-G2-2-L2-g3,7,2,domino_tiling,80,Нельзя,Можно ли доску $10\times10$ с одной угловой клеткой покрыть доминошками?
7-G2-3-L2-g3,7,2,domino_tiling,42,$9$,Прямоугольник $3\times6$ разрезали на доминошки. Какое минимальное число доминошек?
7-G2-4-L2-g3,7,2,domino_tiling,30,Нельзя,Можно ли прямоугольник $3\times5$ разрезать на доминошки?
7-G2-1-L3-g3,7,3,domino_tiling,42,$9$,Прямоугольник $6\times3$ разрезали на доминошки. Какое минимальное число доминошек?
7-G2-2-L3-g3,7,3,domino_tiling,80,Нельзя,Можно ли доску $6\times6$ с одной угловой клеткой покрыть доминошками?
7-G2-4-L3-g3,7,3,domino_tiling,43,$10$,Прямоугольник $4\times5$ разрезали на доминошки. Какое минимальное число доминошек?
7-G2-5-L3-g3,7,3,domino_tiling,43,$10$,Прямоугольник $5\times4$ разрезали на доминошки. Какое минимальное число доминошек?
7-G2-1-L4-g3,7,4,domino_tiling,80,Нельзя,Можно ли доску $8\times8$ с одной угловой клеткой покрыть доминошками?
7-G2-2-L4-g3,7,4,domino_tiling,42,$6$,Прямоугольник $4\times3$ разрезали на доминошки. Какое минимальное число доминошек?
7-G2-3-L4-g3,7,4,domino_tiling,68,Нельзя,Можно ли доску $5\times5$ покрыть доминошками $1\times2$ целиком?
7-G2-4-L4-g3,7,4,domino_tiling,42,$6$,Прямоугольник $3\times4$ разрезали на доминошки. Какое минимальное число доминошек?
7-G2-5-L4-g3,7,4,domino_tiling,43,$12$,Прямоугольник $4\times6$ разрезали на доминошки. Какое минимальное число доминошек?
7-G2-3-L5-g3,7,5,domino_tiling,30,Нельзя,Можно ли прямоугольник $5\times5$ разрезать на доминошки?
7-G2-4-L5-g3,7,5,domino_tiling,42,$8$,Прямоугольник $4\times4$ разрезали на доминошки. Какое минимальное число доминошек?
7-G2-5-L5-g3,7,5,domino_tiling,43,$18$,Прямоугольник $6\times6$ разрезали на доминошки. Какое минимальное число доминошек?
7-G2-2-L6-g678,7,6,domino_tiling,80,нет,Можно ли покрыть прямоугольник $10\times10$ без двух противоположных угловых клеток доминошками $1\times2$?
7-G2-5-L6-g678,7,6,domino_tiling,59,нет,Можно ли разрезать прямоугольник $5\times5$ на доминошки $1\times2$?
7-G2-5-L7-g678,7,7,domino_tiling,590,Нет,Можно ли замостить доску размером $5 \times 5$ без одной угловой клетки костяшками домино $1 \times 2$? Ответ обоснуйте.
7-G2-2-L8-g678,7,8,domino_tiling,1253,Нельзя,"Доску $7 \times 7$ раскрасили в шахматном порядке. Можно ли замостить её $16$ плитками домино ($2 \times 1$) и одной плиткой тетрамино $T$-формы (три клетки в ряд и одна под центром) так, чтобы плитки не перекрывались и покрывали всю доску? Плитки можно поворачивать. Ответ обоснуйте."
7-G3-2-L6-g678,7,6,chocolate_game_1xn,14,первый,Двое ломают шоколадку $16\times1$. Выигрывает последний разлом. Кто?
7-G3-4-L6-g678,7,6,chocolate_game_1xn,13,второй,Двое ломают шоколадку $9\times1$. Выигрывает последний разлом. Кто?
8-A2-11-L1-g,8,1,fraction_of_number,49,$5$,Вычислите: $\d\frac{22}{4}-\d\frac{2}{4}$.
8-A2-2-L1-g,8,1,fraction_of_number,53,$2$,Вычислите: $\d\frac{24}{11}-\d\frac{2}{11}$.
8-A2-3-L1-g,8,1,fraction_of_number,54,$5$,Вычислите: $\d\frac{70}{12}-\d\frac{10}{12}$.
8-A2-4-L1-g,8,1,fraction_of_number,50,$5$,Вычислите: $\d\frac{53}{9}-\d\frac{8}{9}$.
8-A2-5-L1-g,8,1,fraction_of_number,53,$1$,Вычислите: $\d\frac{14}{10}-\d\frac{4}{10}$.
8-A2-7-L1-g,8,1,fraction_of_number,53,$1$,Вычислите: $\d\frac{14}{12}-\d\frac{2}{12}$.
8-A2-8-L1-g,8,1,fraction_of_number,50,$4$,Вычислите: $\d\frac{29}{7}-\d\frac{1}{7}$.
8-A2-14-L2-g,8,2,fraction_of_number,48,$6$,Вычислите: $\d\frac{20}{3}-\d\frac{2}{3}$.
8-A2-18-L2-g,8,2,fraction_of_number,50,$4$,Вычислите: $\d\frac{34}{8}-\d\frac{2}{8}$.
